instance kdown james-cpp-max-down kdown-par/t32 james-cpp-max-down-par/t32
si4_b06_m400.04 39 3 15 5
si4_b06_m400.03 29 2 15 5
si4_b06_m400.00 29 2 17 6
si4_b06_m400.05 29 2 16 7
si4_b06_m400.08 29 3 17 5
si4_b06_m400.02 39 2 15 5
si2_m4Dr6_m256.06 18 6 11 15
si2_m4Dr6_m256.05 12 1 11 3
si2_m4Dr6_m256.09 53 16 8 4
si2_m4Dr6_m256.00 40 8 10 7
si2_m4Dr6_m256.07 11 1 10 4
si2_m4Dr6_m256.04 20 1 10 7
si2_m4Dr6_m256.02 17 2 9 10
si2_m4Dr6_m256.01 17 37 7 17
si2_m4Dr6_m256.08 165 5 14 15
si2_m4Dr6_m256.03 29 1 8 7
si6_r01_m200.04 575 2 41 4
si6_r01_m200.08 425 4 36 5
si6_r01_m200.02 1092 7 96 3
si6_r01_m200.09 1927 2 133 3
si6_r01_m200.07 531 6 39 4
si6_r01_m200.00 459 8 38 8
si6_r01_m200.01 4980 1 288 7
si6_r01_m200.03 1001 18 86 4
si6_r01_m200.05 2002 4 144 6
si6_r01_m200.06 1889 2 136 15
si2_b03m_m800.03 149 6 55 11
si2_b03m_m800.02 92 10 42 10
si2_b03m_m800.09 141 9 41 9
si2_b03m_m800.04 146 9 44 7
si2_b03m_m800.06 87 6 65 10
si2_b03m_m800.05 155 5 45 10
si2_b03m_m800.01 135 4 58 10
si2_b03m_m800.08 96 6 61 7
si2_b03m_m800.07 151 1000002 62 1000003
si2_b03m_m800.00 131 4 55 12
si2_r001_m200.06 667 11 371 12
si2_r001_m200.01 1443 296 10 10
si2_r001_m200.02 2048 176 205 5
si2_r001_m200.07 29 1 17 6
si2_r001_m200.04 138 5 8 6
si2_r001_m200.05 58773 240835 122 5
si2_r001_m200.09 370519 48054 554 3
si2_r001_m200.03 1766 2281 35 4
si2_r001_m200.00 21 1 9 2
si2_r001_m200.08 432025 15022 40747 58
si6_b03m_m800.01 398 7 98 13
si6_b03m_m800.08 367 9 105 14
si6_b03m_m800.03 351 105 82 111
si6_b03m_m800.00 379 9 102 14
si6_b03m_m800.04 272 9 109 15
si6_b03m_m800.05 269 9 120 15
si6_b03m_m800.07 362 10 129 16
si6_b03m_m800.06 369 5 114 15
si6_b03m_m800.09 367 9 117 15
si6_b03m_m800.02 321 9 120 16
si4_r005_m200.00 570 25 68 5
si4_r005_m200.08 300 3 37 6
si4_r005_m200.02 457 34 43 32
si4_r005_m200.05 186 3 21 8
si4_r005_m200.06 133 1 16 4
si4_r005_m200.04 1155 6 106 15
si4_r005_m200.07 445 4 51 7
si4_r005_m200.09 292 4 39 9
si4_r005_m200.01 504 2 59 24
si4_r005_m200.03 383 6 37 6
si6_b09m_m400.03 97 4 24 7
si6_b09m_m400.07 58 2 20 7
si6_b09m_m400.00 108 5 24 7
si6_b09m_m400.04 99 2 16 6
si6_b09m_m400.06 73 3 24 7
si6_b09m_m400.08 96 5 31 8
si6_b09m_m400.02 96 3 23 8
si6_b09m_m400.05 70 5 19 7
si6_b09m_m400.09 99 4 28 8
si6_b09m_m400.01 92 3 25 7
si2_b09_m200.08 3 0 6 6
si2_b09_m200.01 3 0 5 3
si2_b09_m200.06 4 0 7 3
si2_b09_m200.05 5 0 7 3
si2_b09_m200.00 5 0 6 3
si2_b09_m200.02 3 0 5 3
si2_b09_m200.03 4 0 8 3
si2_b09_m200.04 4 0 7 4
si2_b09_m200.09 4 0 7 4
si2_b09_m200.07 3 0 6 3
si6_r01_m600.02 317425 166 10723 16
si6_r01_m600.06 288937 10 9807 14
si6_r01_m600.09 123833 459 4647 15
si6_r01_m600.08 410769 3228 13603 479
si6_r01_m600.05 266797 20 9077 33
si6_r01_m600.07 495506 308 17258 37
si6_r01_m600.03 236750 214 8144 21
si6_r01_m600.00 71819 124 2460 31
si6_r01_m600.01 1000000 28 47978 94
si6_r01_m600.04 940485 588 32378 13
si2_b06_m200.02 5 0 5 2
si2_b06_m200.00 3 0 5 2
si2_b06_m200.01 3 0 3 2
si2_b06_m200.06 6 0 4 2
si2_b06_m200.09 3 0 5 2
si2_b06_m200.07 2 0 4 3
si2_b06_m200.04 3 0 5 2
si2_b06_m200.08 3 0 4 3
si2_b06_m200.03 3 0 5 3
si2_b06_m200.05 3 0 4 2
si6_m4Dr2_m1296.05 966 37 156 41
si6_m4Dr2_m1296.09 875 38 124 40
si6_m4Dr2_m1296.01 989 18 160 40
si6_m4Dr2_m1296.06 1004 27 155 36
si6_m4Dr2_m1296.07 1348 29 194 42
si6_m4Dr2_m1296.03 1125 28 173 36
si6_m4Dr2_m1296.04 954 19 179 39
si6_m4Dr2_m1296.00 916 27 183 36
si6_m4Dr2_m1296.08 898 36 183 37
si6_m4Dr2_m1296.02 910 32 190 37
si2_b09m_m800.09 199 4 43 11
si2_b09m_m800.07 106 26037 43 22756
si2_b09m_m800.00 131 9 35 12
si2_b09m_m800.04 161 10 39 11
si2_b09m_m800.02 85 4 29 11
si2_b09m_m800.05 161 4 29 11
si2_b09m_m800.03 123 7 35 11
si2_b09m_m800.08 136 4 40 11
si2_b09m_m800.06 139 8 37 13
si2_b09m_m800.01 100 6 28 12
si4_b03_m400.01 28 2 17 5
si4_b03_m400.02 29 2 19 7
si4_b03_m400.05 22 1 17 5
si4_b03_m400.07 29 2 17 5
si4_b03_m400.06 28 2 16 7
si4_b03_m400.00 29 2 17 6
si4_b03_m400.03 29 1 17 6
si4_b03_m400.04 28 2 17 6
si4_b03_m400.09 24 2 18 7
si4_b03_m400.08 28 1 18 5
si2_b03_m200.05 5 0 8 3
si2_b03_m200.09 3 0 6 3
si2_b03_m200.07 3 0 6 4
si2_b03_m200.01 3 0 6 3
si2_b03_m200.08 4 0 6 3
si2_b03_m200.02 3 0 6 2
si2_b03_m200.04 3 0 7 3
si2_b03_m200.03 3 0 11 3
si2_b03_m200.06 3 0 6 3
si2_b03_m200.00 3 0 9 3
si4_r005_m600.00 44403 83 1784 12
si4_r005_m600.02 12568 152 613 60
si4_r005_m600.08 50551 868 2170 220
si4_r005_m600.05 28018 357 1169 113
si4_r005_m600.07 21614 128 849 39
si4_r005_m600.06 141237 421 5437 27
si4_r005_m600.01 39967 63 1550 33
si4_r005_m600.04 37218 365 1493 104
si4_r005_m600.03 15796 49 663 8
si4_r005_m600.09 12137 19 486 22
si4_b09_m400.05 37 2 11 4
si4_b09_m400.03 41 3 13 6
si4_b09_m400.00 29 2 11 5
si4_b09_m400.07 41 3 12 5
si4_b09_m400.01 29 2 11 5
si4_b09_m400.06 29 3 14 4
si4_b09_m400.04 29 1 15 4
si4_b09_m400.02 29 3 15 5
si4_b09_m400.08 29 2 12 5
si4_b09_m400.09 37 2 14 5
si4_b06m_m400.06 63 2 18 5
si4_b06m_m400.03 70 2 14 4
si4_b06m_m400.01 74 2 16 5
si4_b06m_m400.08 66 2 18 5
si4_b06m_m400.05 40 1 23 5
si4_b06m_m400.07 69 1 17 6
si4_b06m_m400.00 62 3 15 7
si4_b06m_m400.04 60 2 19 6
si4_b06m_m400.09 71 2 22 6
si4_b06m_m400.02 72 3 20 5
si2_m4Dr2_m625.05 186 12 30 10
si2_m4Dr2_m625.00 230 4 29 10
si2_m4Dr2_m625.08 105 4 20 9
si2_m4Dr2_m625.09 96 5 23 9
si2_m4Dr2_m625.06 786 16 25 9
si2_m4Dr2_m625.04 144 12 25 9
si2_m4Dr2_m625.01 308 12 36 10
si2_m4Dr2_m625.03 557 5 23 14
si2_m4Dr2_m625.02 218 13 27 8
si2_m4Dr2_m625.07 92 4 29 9
si2_r005_m200.02 168 1 22 4
si2_r005_m200.01 23387 4088 1446 449
si2_r005_m200.03 319 19 64 25
si2_r005_m200.05 4281 371 513 86
si2_r005_m200.08 2309 162 250 5
si2_r005_m200.04 87 57 15 30
si2_r005_m200.09 1435 92 100 3
si2_r005_m200.06 434 25 61 2
si2_r005_m200.00 1429 127 130 22
si2_r005_m200.07 252 38 21 7
si4_b03m_m400.03 45 2 23 5
si4_b03m_m400.09 80 2 18 4
si4_b03m_m400.08 54 2 27 3
si4_b03m_m400.04 43 4 19 6
si4_b03m_m400.00 40 1 25 5
si4_b03m_m400.01 50 2 22 6
si4_b03m_m400.07 66 4 26 6
si4_b03m_m400.02 57 2 24 4
si4_b03m_m400.06 40 2 26 5
si4_b03m_m400.05 46 3 23 5
si2_r01_m600.01 644070 4603 29392 601
si2_r01_m600.06 528806 15030 22523 2731
si2_r01_m600.09 1000000 34987 126077 2582
si2_r01_m600.08 1000000 64955 60513 3710
si2_r01_m600.04 812275 13737 32810 1245
si2_r01_m600.02 1000000 17930 51084 1881
si2_r01_m600.00 1000000 8719 254819 523
si2_r01_m600.07 1000000 5695 51350 1416
si2_r01_m600.03 1000000 8776 61353 754
si2_r01_m600.05 814076 11788 28760 1044
si4_m4Dr6_m256.01 33 1 5 3
si4_m4Dr6_m256.00 87 3 8 3
si4_m4Dr6_m256.05 154 6 8 6
si4_m4Dr6_m256.08 24 3 6 4
si4_m4Dr6_m256.03 43 2 8 3
si4_m4Dr6_m256.06 37 1 8 4
si4_m4Dr6_m256.09 15 1 5 2
si4_m4Dr6_m256.07 609 17 8 5
