instance clique james-cpp-max clique-par/t32 james-cpp-max-par/t32
mcs10_m2Dr6_s40_AB06 16 0 20 1
mcs10_m2Dr6_s40_AB07 11 0 19 2
mcs10_m2Dr6_s40_AB08 11 0 14 2
mcs10_m2Dr6_s40_AB09 12 0 14 1
mcs10_m2Dr6_s50_AB00 35 0 37 2
mcs10_m2Dr6_s50_AB01 43 0 45 2
mcs10_m2Dr6_s50_AB02 29 0 32 2
mcs10_m2Dr6_s50_AB03 38 0 41 2
mcs10_m2Dr6_s50_AB04 31 0 33 2
mcs10_m2Dr6_s50_AB05 30 0 33 1
mcs10_m2Dr6_s50_AB06 49 0 48 2
mcs10_m2Dr6_s50_AB07 38 0 42 1
mcs10_m2Dr6_s50_AB08 30 0 31 1
mcs10_m2Dr6_s50_AB09 33 0 35 2
mcs10_m2Dr6_s60_AB00 21 0 23 2
mcs10_m2Dr6_s60_AB01 25 0 27 1
mcs10_m2Dr6_s60_AB02 18 0 21 2
mcs10_m2Dr6_s60_AB03 15 0 20 2
mcs10_m2Dr6_s60_AB04 18 0 21 2
mcs10_m2Dr6_s60_AB05 19 0 22 2
mcs10_m2Dr6_s60_AB06 20 0 23 1
mcs10_m2Dr6_s60_AB07 19 0 22 1
mcs10_m2Dr6_s60_AB08 18 0 22 1
mcs10_m2Dr6_s60_AB09 20 0 24 1
mcs10_m2Dr6_s70_AB00 38 0 40 1
mcs10_m2Dr6_s70_AB01 43 1 41 2
mcs10_m2Dr6_s70_AB02 43 0 44 1
mcs10_m2Dr6_s70_AB03 38 0 38 2
mcs10_m2Dr6_s70_AB04 41 0 43 2
mcs10_m2Dr6_s70_AB05 42 0 42 4
mcs10_m2Dr6_s70_AB06 53 0 52 2
mcs10_m2Dr6_s70_AB07 43 0 40 2
mcs10_m2Dr6_s70_AB08 44 0 44 2
mcs10_m2Dr6_s70_AB09 34 0 33 2
mcs10_m2Dr6_s80_AB00 63 0 60 2
mcs10_m2Dr6_s80_AB01 68 0 64 2
mcs10_m2Dr6_s80_AB02 83 0 83 2
mcs10_m2Dr6_s80_AB03 81 1 78 2
mcs10_m2Dr6_s80_AB04 83 0 81 2
mcs10_m2Dr6_s80_AB05 79 0 74 2
mcs10_m2Dr6_s80_AB06 65 0 60 2
mcs10_m2Dr6_s80_AB07 66 0 63 2
mcs10_m2Dr6_s80_AB08 87 0 85 2
mcs10_m2Dr6_s80_AB09 107 0 76 2
mcs10_m2Dr6_s90_AB00 127 1 124 2
mcs10_m2Dr6_s90_AB01 127 0 118 2
mcs10_m2Dr6_s90_AB02 128 0 124 2
mcs10_m2Dr6_s90_AB03 120 0 111 2
mcs10_m2Dr6_s90_AB04 122 0 100 3
mcs10_m2Dr6_s90_AB05 141 1 140 3
mcs10_m2Dr6_s90_AB06 130 0 129 2
mcs10_m2Dr6_s90_AB07 143 0 143 2
mcs10_m2Dr6_s90_AB08 128 0 123 3
mcs10_m2Dr6_s90_AB09 124 0 117 2
mcs10_m3D_s100_AB00 54 0 53 2
mcs10_m3D_s100_AB01 52 0 51 2
mcs10_m3D_s100_AB02 49 0 49 3
mcs10_m3D_s100_AB03 60 0 59 2
mcs10_m3D_s100_AB04 56 0 52 3
mcs10_m3D_s100_AB05 54 0 51 3
mcs10_m3D_s100_AB06 95 0 64 1
mcs10_m3D_s100_AB07 48 0 49 2
mcs10_m3D_s100_AB08 49 0 48 3
mcs10_m3D_s100_AB09 49 0 49 2
mcs10_m3D_s60_AB00 20 0 23 2
mcs10_m3D_s60_AB01 17 0 19 2
mcs10_m3D_s60_AB02 23 0 26 2
mcs10_m3D_s60_AB03 24 0 25 1
mcs10_m3D_s60_AB04 19 0 21 1
mcs10_m3D_s60_AB05 17 0 20 2
mcs10_m3D_s60_AB06 22 0 22 2
mcs10_m3D_s60_AB07 21 0 25 2
mcs10_m3D_s60_AB08 17 0 20 3
mcs10_m3D_s60_AB09 23 0 24 1
mcs10_m3D_s70_AB00 47 0 47 2
mcs10_m3D_s70_AB01 49 0 47 1
mcs10_m3D_s70_AB02 44 0 47 2
mcs10_m3D_s70_AB03 38 0 39 2
mcs10_m3D_s70_AB04 35 0 38 1
mcs10_m3D_s70_AB05 44 0 45 2
mcs10_m3D_s70_AB06 36 0 36 2
mcs10_m3D_s70_AB07 42 0 41 4
mcs10_m3D_s70_AB08 48 0 47 2
mcs10_m3D_s70_AB09 42 0 44 2
mcs10_m3D_s80_AB00 64 0 63 2
mcs10_m3D_s80_AB01 71 0 66 2
mcs10_m3D_s80_AB02 73 0 68 1
mcs10_m3D_s80_AB03 67 0 66 2
mcs10_m3D_s80_AB04 71 0 70 2
mcs10_m3D_s80_AB05 100 0 93 2
mcs10_m3D_s80_AB06 74 0 72 2
mcs10_m3D_s80_AB07 76 0 71 2
mcs10_m3D_s80_AB08 55 0 54 3
mcs10_m3D_s80_AB09 73 0 69 2
mcs10_m3D_s90_AB00 135 0 139 2
mcs10_m3D_s90_AB01 116 0 102 2
mcs10_m3D_s90_AB02 124 0 117 2
mcs10_m3D_s90_AB03 101 0 96 2
mcs10_m3D_s90_AB04 119 0 111 2
mcs10_m3D_s90_AB05 116 0 107 2
mcs10_m3D_s90_AB06 134 0 136 2
mcs10_m3D_s90_AB07 113 0 109 2
mcs10_m3D_s90_AB08 132 0 132 2
mcs10_m3D_s90_AB09 123 0 120 2
mcs10_m3Dr2_s100_AB00 51 0 49 2
mcs10_m3Dr2_s100_AB01 65 0 65 2
mcs10_m3Dr2_s100_AB02 66 0 65 2
mcs10_m3Dr2_s100_AB03 48 0 47 2
mcs10_m3Dr2_s100_AB04 59 1 56 2
mcs10_m3Dr2_s100_AB05 46 0 44 1
mcs10_m3Dr2_s100_AB06 55 0 52 2
mcs10_m3Dr2_s100_AB07 55 0 52 2
mcs10_m3Dr2_s100_AB08 59 1 55 2
mcs10_m3Dr2_s100_AB09 60 0 59 2
mcs10_m3Dr2_s60_AB00 20 0 24 2
mcs10_m3Dr2_s60_AB01 21 0 25 1
mcs10_m3Dr2_s60_AB02 20 0 23 1
mcs10_m3Dr2_s60_AB03 19 0 23 1
mcs10_m3Dr2_s60_AB04 21 0 23 1
mcs10_m3Dr2_s60_AB05 16 0 18 2
mcs10_m3Dr2_s60_AB06 20 0 23 3
mcs10_m3Dr2_s60_AB07 18 0 20 2
