instance clique james-cpp-max clique-par/t8 clique-par/t16 clique-par/t32 clique-par/t64 clique-par/t32r james-cpp-max-par/t8 james-cpp-max-par/t16 james-cpp-max-par/t32 clique-cilk/t32 clique-cilk/t32r james-cpp-max-par/t32r clique-par/t4 clique-par/t2 clique-prime clique-prime-par/t32 james-cpp-max-prime james-cpp-max-prime-par/t32
mcs10_b03m_s100_AB05 100000 100000 100001 100001 100003 100036 100003 100000 100000 100001 100000 100000 100001 100001 100000 100000 100002 100000 100001
mcs10_b03m_s100_AB06 9730 100000 1570 1042 865 972 883 100000 100000 100001 762 644 100001 2549 5123 9040 714 100000 100002
mcs10_b03m_s100_AB07 100000 100000 100001 100001 87536 100003 88383 100000 100000 100001 96302 100000 100001 100000 100000 100000 63741 100000 100001
mcs10_b03m_s100_AB08 100000 100000 100001 100001 100020 100036 100019 100000 100000 100001 100001 100000 100001 100000 100000 100000 100019 100000 100001
mcs10_b03m_s100_AB09 100000 100000 100001 100001 100002 100036 100002 100000 100000 100001 100000 100000 100001 100001 100000 100000 100002 100000 100000
mcs10_b03m_s40_AB00 1786 414 237 135 104 111 99 7 7 9 191 184 6 444 880 1698 98 541 10
mcs10_b03m_s40_AB01 64 179 18 21 20 22 24 20 19 13 32 37 17 26 39 56 19 99 21
mcs10_b03m_s40_AB02 1527 3666 211 125 87 90 89 43 43 39 166 162 45 385 787 1514 97 2883 31
mcs10_b03m_s40_AB03 26 3572 11 13 12 17 16 116 91 87 29 39 68 11 14 21 14 1417 69
mcs10_b03m_s40_AB04 1382 2335 181 104 84 97 71 99 64 72 148 142 75 336 703 1219 81 1952 87
mcs10_b03m_s40_AB05 195 464 30 25 27 32 24 23 23 23 45 39 27 47 85 163 28 400 22
mcs10_b03m_s40_AB06 1020 3251 132 86 70 79 70 105 63 74 125 122 62 250 499 977 76 2987 41
mcs10_b03m_s40_AB07 1205 215 181 100 77 97 85 7 7 7 274 248 8 318 707 1094 75 173 10
mcs10_b03m_s40_AB08 38 453 24 17 20 18 20 25 26 26 32 73 24 29 33 25 15 311 27
mcs10_b03m_s40_AB09 5536 4072 670 358 255 267 250 201 192 194 612 622 213 1294 2691 4792 250 3628 215
