instance clique james-cpp-max clique-par/t8 clique-par/t16 clique-par/t32 clique-par/t64 clique-par/t32r james-cpp-max-par/t8 james-cpp-max-par/t16 james-cpp-max-par/t32 clique-cilk/t32 clique-cilk/t32r james-cpp-max-par/t32r clique-par/t4 clique-par/t2 clique-prime clique-prime-par/t32 james-cpp-max-prime james-cpp-max-prime-par/t32
mcs50_m4Dr6_s40_AB07 13 203 11 12 15 17 14 31 29 31 28 26 34 11 11 13 17 76 30
mcs50_m4Dr6_s40_AB08 8 3 11 10 12 14 11 1 3 5 34 19 5 9 8 8 10 2 4
mcs50_m4Dr6_s40_AB09 7 31 9 11 11 13 10 76 76 77 27 38 70 8 7 7 13 20 70
mcs50_r001_s100_AB00 40282 100000 7478 5849 6654 7689 6535 100000 100001 100001 3303 3246 100001 11537 20925 37529 3603 100000 100001
mcs50_r001_s100_AB01 1305 100000 388 360 376 382 398 100000 100001 100001 136 149 100001 459 696 1214 271 100000 100002
mcs50_r001_s100_AB02 73992 100000 12412 7844 3698 3784 3848 100000 100000 100001 3558 3499 100001 20033 36751 62268 3070 100000 100000
mcs50_r001_s100_AB03 100000 100000 100001 100005 100002 100002 100002 100000 100001 100001 100000 100000 100001 100001 100001 100000 100002 100000 100001
mcs50_r001_s100_AB04 28919 100000 4126 3105 3184 3162 3193 100000 100001 100001 1614 1624 100001 7178 14015 28255 3076 100000 100001
mcs50_r001_s100_AB05 100000 100000 29141 20741 16447 16264 16327 100000 100001 100002 13259 13296 100001 55554 100001 100000 16359 100000 100001
mcs50_r001_s100_AB06 27241 100000 4034 2832 2262 2540 2350 100000 100001 100001 1524 1517 100002 6501 12703 24831 2011 100000 100001
mcs50_r001_s100_AB07 60995 100000 12160 9655 10315 13560 10234 100000 100000 100001 3615 3534 100001 17734 29829 58597 6968 100000 100001
mcs50_r001_s100_AB08 7458 100000 1065 1051 1114 1130 1108 100000 100000 100001 444 445 100001 1846 3658 7386 1102 100000 100001
mcs50_r001_s100_AB09 100000 100000 100001 100008 100018 100029 100016 100000 100000 100001 100000 100000 100001 100001 100000 100000 100016 100000 100001
mcs50_r005_s100_AB00 33 1091 29 29 31 34 33 1596 1583 1600 42 44 1593 28 40 26 32 323 345
mcs50_r005_s100_AB01 27 1818 28 31 32 33 30 1411 1185 1395 60 51 1456 27 27 26 30 561 568
mcs50_r005_s100_AB02 54 1220 28 31 31 32 34 994 929 969 53 43 970 28 42 26 31 1198 967
mcs50_r005_s100_AB03 44 1979 30 33 35 36 35 1703 1688 1511 50 69 1794 31 35 29 33 1937 1709
mcs50_r005_s100_AB04 28 951 27 29 28 34 30 1291 1244 1453 32 39 1402 25 26 24 29 928 1450
mcs50_r005_s100_AB05 26 1097 28 29 30 30 30 2977 2997 3041 42 50 3018 26 25 31 31 458 720
mcs50_r005_s100_AB06 25 2548 27 33 27 32 29 2595 2554 2542 45 45 2590 25 25 24 29 993 1061
mcs50_r005_s100_AB07 29 812 26 29 32 33 31 495 422 517 40 47 549 24 27 24 30 767 524
mcs50_r005_s100_AB08 46 1283 24 27 28 29 28 402 338 433 38 40 271 25 25 29 28 373 284
mcs50_r005_s100_AB09 26 808 25 31 31 32 30 1308 1254 1325 44 36 1357 28 26 25 29 801 1303
mcs50_r005_s20_AB00 2 0 3 4 6 7 5 1 2 4 27 19 4 2 2 1 6 0 3
mcs50_r005_s20_AB01 2 0 4 5 6 8 6 1 2 4 23 11 4 2 2 2 6 0 4
mcs50_r005_s20_AB02 2 0 5 5 6 8 8 1 2 4 21 31 4 3 2 2 6 0 4
mcs50_r005_s20_AB03 2 0 4 5 5 7 6 1 2 6 13 28 6 2 2 1 5 0 6
mcs50_r005_s20_AB04 2 0 4 6 6 8 9 2 2 4 27 11 4 3 2 2 6 0 4
mcs50_r005_s20_AB05 2 0 4 4 6 6 6 1 2 6 18 30 5 2 2 2 4 0 4
mcs50_r005_s20_AB06 2 0 4 5 5 7 5 1 2 4 34 11 4 2 2 1 7 0 4
mcs50_r005_s20_AB07 1 0 3 5 5 7 5 1 3 5 29 17 7 2 1 1 5 0 4
mcs50_r005_s20_AB08 1 0 4 4 6 7 5 0 1 2 27 20 3 2 2 1 5 0 2
mcs50_r005_s20_AB09 2 0 4 5 5 8 5 1 2 4 20 24 6 2 2 1 6 0 4
mcs50_r005_s25_AB00 13 3 7 9 9 10 9 1 2 4 30 26 3 7 7 9 9 2 4
mcs50_r005_s25_AB01 7 1 8 9 9 11 10 1 2 4 31 22 7 6 6 6 8 1 4
mcs50_r005_s25_AB02 5 5 7 8 8 10 8 3 4 6 24 25 7 6 5 5 8 1 5
mcs50_r005_s25_AB03 4 3 6 7 8 10 8 3 3 7 29 29 7 6 5 5 10 1 6
mcs50_r005_s25_AB04 7 4 8 8 8 9 8 1 2 4 26 29 4 6 5 5 9 3 4
mcs50_r005_s25_AB05 5 18 7 8 7 10 8 2 3 6 28 22 6 5 4 4 8 9 6
mcs50_r005_s25_AB06 9 3 8 7 9 10 9 2 4 6 40 29 7 6 7 9 10 3 6
mcs50_r005_s25_AB07 5 5 6 7 9 8 8 2 3 7 23 18 8 5 5 5 7 2 6
mcs50_r005_s25_AB08 7 8 6 8 9 10 9 2 2 5 34 24 5 7 5 6 8 6 5
mcs50_r005_s25_AB09 7 6 7 8 9 9 8 2 3 6 25 41 8 7 5 7 8 5 5
mcs50_r005_s30_AB00 2 0 4 4 6 8 5 1 2 4 29 19 5 2 2 2 6 0 4
mcs50_r005_s30_AB01 5 5 5 5 7 8 6 2 3 5 29 21 5 4 4 4 7 5 6
mcs50_r005_s30_AB02 3 1 4 6 6 7 7 1 2 4 14 23 5 3 4 3 7 0 4
mcs50_r005_s30_AB03 2 1 4 6 6 7 5 1 2 5 13 12 4 4 2 2 6 1 5
mcs50_r005_s30_AB04 3 0 5 5 8 8 7 1 4 4 12 28 5 4 3 3 7 0 4
mcs50_r005_s30_AB05 3 1 4 5 7 8 6 1 3 4 48 36 5 3 3 2 7 1 4
mcs50_r005_s30_AB06 3 4 4 7 7 8 7 2 3 6 22 19 6 4 3 3 7 4 6
mcs50_r005_s30_AB07 2 1 5 6 8 8 7 2 3 5 23 12 5 3 3 2 8 0 5
mcs50_r005_s30_AB08 3 0 5 5 6 9 6 1 2 4 28 13 4 3 3 3 7 0 4
mcs50_r005_s30_AB09 2 5 4 5 6 7 5 1 3 5 24 19 5 3 2 2 6 2 5
mcs50_r005_s35_AB00 5 45 8 9 11 10 9 10 9 11 37 48 11 5 5 5 9 37 11
mcs50_r005_s35_AB01 19 8 12 11 13 19 13 3 3 6 41 42 6 11 13 16 11 4 6
mcs50_r005_s35_AB02 7 19 7 8 9 11 9 5 6 8 21 38 7 6 6 5 8 13 7
mcs50_r005_s35_AB03 4 8 7 7 8 9 9 10 7 12 15 20 18 4 4 4 8 5 12
mcs50_r005_s35_AB04 11 12 8 8 10 12 10 20 21 23 43 25 23 7 8 8 9 12 20
mcs50_r005_s35_AB05 8 5 8 9 10 11 11 2 3 5 38 44 5 7 6 6 8 5 5
mcs50_r005_s35_AB06 5 3 7 7 7 10 8 1 3 6 22 41 7 5 5 4 9 1 7
mcs50_r005_s35_AB07 6 21 8 8 9 10 10 10 10 12 44 25 12 6 6 6 9 11 13
mcs50_r005_s35_AB08 14 11 9 10 11 12 10 6 7 10 30 30 11 8 11 13 10 11 10
mcs50_r005_s35_AB09 5 35 7 8 7 10 8 15 15 17 22 38 16 5 5 5 10 37 20
mcs50_r005_s40_AB00 8 46 10 11 12 13 13 12 17 13 46 42 13 10 8 9 11 40 15
mcs50_r005_s40_AB01 11 95 12 12 12 16 12 64 60 61 21 30 63 11 11 12 14 34 39
mcs50_r005_s40_AB02 26 36 14 14 15 19 18 18 18 20 23 31 20 14 18 25 16 37 21
mcs50_r005_s40_AB03 34 133 16 16 23 26 21 81 69 77 56 25 76 18 24 33 18 65 52
mcs50_r005_s40_AB04 11 2 10 11 11 13 14 2 3 4 38 27 4 10 11 11 12 1 5
mcs50_r005_s40_AB05 11 17 10 14 11 15 14 11 7 8 46 32 8 9 10 13 13 8 7
mcs50_r005_s40_AB06 9 16 10 11 12 13 12 8 9 11 25 32 7 8 8 7 11 6 10
mcs50_r005_s40_AB07 11 132 11 11 14 14 13 57 81 79 33 46 67 9 10 14 12 106 44
mcs50_r005_s40_AB08 8 19 10 10 11 14 11 18 12 21 17 38 15 9 8 8 11 14 15
mcs50_r005_s40_AB09 14 39 12 14 14 16 14 17 18 18 29 36 22 11 12 13 15 11 13
mcs50_r005_s50_AB00 49 218 27 31 31 29 28 199 106 111 55 47 151 28 34 49 28 194 167
mcs50_r005_s50_AB01 706 2074 52 43 47 47 41 607 502 434 57 44 440 97 202 203 44 1578 292
mcs50_r005_s50_AB02 112 634 36 33 38 45 41 439 333 293 47 42 256 54 66 103 40 328 141
mcs50_r005_s50_AB03 108 235 31 31 34 30 31 138 122 124 37 66 158 35 43 39 29 44 102
mcs50_r005_s50_AB04 113 506 37 38 38 45 37 117 92 88 51 58 97 45 74 112 41 308 88
mcs50_r005_s50_AB05 37 452 27 30 28 29 31 382 324 332 41 34 336 27 31 34 27 145 288
mcs50_r005_s50_AB06 118 1098 43 41 38 38 41 956 539 553 48 44 501 51 71 110 36 310 513
mcs50_r005_s50_AB07 21 1551 20 21 21 22 22 1159 843 657 42 50 661 18 19 21 22 394 632
mcs50_r005_s50_AB08 305 173 37 37 40 43 36 213 180 164 37 40 166 59 178 77 33 174 161
mcs50_r005_s50_AB09 34 289 21 24 24 27 25 232 117 108 45 38 123 20 22 26 25 92 93
mcs50_r005_s60_AB00 12 115 13 15 14 16 15 123 107 109 28 27 104 12 12 12 16 97 76
mcs50_r005_s60_AB01 24 141 14 14 16 23 15 140 145 149 38 40 140 15 17 15 14 40 56
mcs50_r005_s60_AB02 16 92 16 17 15 18 16 132 134 129 37 31 133 13 14 12 19 67 89
mcs50_r005_s60_AB03 12 150 13 15 15 18 15 198 170 197 46 21 197 12 12 13 17 65 79
mcs50_r005_s60_AB04 13 77 13 13 14 17 18 50 24 23 39 21 30 13 11 10 16 28 22
mcs50_r005_s60_AB05 14 117 13 14 16 15 15 143 138 161 23 36 138 13 12 12 17 79 98
mcs50_r005_s60_AB06 16 24 12 13 13 16 15 36 40 39 23 31 41 12 11 10 14 22 39
mcs50_r005_s60_AB07 17 282 15 15 16 20 17 324 302 312 35 42 336 13 13 14 17 45 112
mcs50_r005_s60_AB08 25 443 14 17 16 18 18 582 568 549 37 28 554 13 17 13 18 102 179
mcs50_r005_s60_AB09 16 159 15 15 18 17 15 93 56 49 29 36 52 11 16 15 16 55 35
mcs50_r005_s70_AB00 70 1086 30 30 36 34 30 1721 1697 1734 49 51 1713 28 38 29 32 303 932
mcs50_r005_s70_AB01 47 412 22 23 26 28 23 768 784 808 44 39 756 24 31 25 25 398 772
mcs50_r005_s70_AB02 33 1038 25 30 30 33 33 796 821 808 38 49 816 26 28 43 26 574 600
mcs50_r005_s70_AB03 19 2515 21 22 22 25 21 505 476 476 53 36 478 19 19 20 22 308 367
mcs50_r005_s70_AB04 32 843 28 27 30 31 30 681 748 676 35 48 800 25 31 24 27 134 339
mcs50_r005_s70_AB05 228 1424 28 32 34 35 32 4693 5186 4784 55 50 5184 26 28 38 29 303 598
mcs50_r005_s70_AB06 32 2659 23 27 27 27 25 710 522 546 48 55 476 22 23 24 25 737 359
mcs50_r005_s70_AB07 60 92 29 30 29 34 32 424 432 443 52 47 444 28 28 29 34 88 106
mcs50_r005_s70_AB08 76 713 26 30 27 29 29 824 743 807 41 43 818 26 27 36 28 831 789
mcs50_r005_s70_AB09 55 249 24 29 28 32 28 658 568 626 53 43 603 24 30 26 29 258 641
mcs50_r005_s80_AB00 46 2187 40 42 46 41 41 473 508 495 57 83 317 39 41 55 42 592 471
mcs50_r005_s80_AB01 49 2421 39 44 41 44 43 1747 2214 924 62 63 1454 40 43 49 41 793 875
mcs50_r005_s80_AB02 51 3731 41 41 41 44 43 12739 12853 12143 70 52 12373 39 44 51 44 1090 2710
mcs50_r005_s80_AB03 37 2480 35 40 39 41 40 635 589 580 57 63 595 36 37 36 38 841 594
mcs50_r005_s80_AB04 64 5533 36 37 41 41 41 8042 8124 8278 55 56 8415 35 40 40 39 1647 3747
mcs50_r005_s80_AB05 1303 3286 39 42 41 46 42 2101 3080 1814 56 56 1752 39 46 48 47 987 1290
mcs50_r005_s80_AB06 52 4819 48 46 50 50 48 3574 3644 3585 68 80 3653 47 63 50 50 492 857
mcs50_r005_s80_AB07 61 3001 38 37 39 41 42 1399 1458 1403 51 46 1471 39 41 45 47 1232 1369
mcs50_r005_s80_AB08 220 7360 40 42 43 43 41 1702 1654 1551 50 57 1537 48 73 54 44 1180 1798
mcs50_r005_s80_AB09 140 3279 48 48 59 51 52 2528 1710 2331 73 54 2411 52 76 41 41 1477 1638
mcs50_r005_s90_AB00 610 29885 84 81 78 89 90 12358 14164 9253 121 84 14062 132 264 165 84 4362 8268
mcs50_r005_s90_AB01 1452 36880 67 67 72 74 69 7993 7406 6962 92 145 7125 124 269 96 65 5548 6845
mcs50_r005_s90_AB02 6022 11436 157 102 101 100 107 3923 3850 3859 139 170 3800 356 1104 116 67 2382 3844
mcs50_r005_s90_AB03 992 13227 66 63 69 66 70 14422 14427 14202 76 79 14596 64 69 68 67 2315 2811
mcs50_r005_s90_AB04 77 1258 61 68 70 74 69 11271 10829 10852 106 82 11052 63 68 88 64 781 1137
mcs50_r005_s90_AB05 67 28621 57 58 62 58 56 8698 5395 4583 69 68 4508 56 60 89 55 3224 2924
mcs50_r005_s90_AB06 84 7222 67 69 75 69 72 3153 2578 2798 87 78 2576 69 74 95 66 2002 2598
mcs50_r005_s90_AB07 106 8928 64 68 66 68 67 1785 1213 1292 78 98 1299 71 81 76 66 1330 2221
mcs50_r005_s90_AB08 321 10976 73 76 71 79 71 27760 17289 12901 95 110 13668 81 110 156 72 10605 12115
mcs50_r005_s90_AB09 923 1628 99 57 56 73 58 2291 2344 2520 98 85 2280 165 540 73 61 1568 2250
mcs50_r01_s100_AB00 35 34 31 29 30 33 32 112 111 116 52 38 111 30 28 27 29 26 66
mcs50_r01_s100_AB01 27 42 24 28 24 27 26 82 83 77 55 57 81 22 22 21 24 21 46
mcs50_r01_s100_AB02 19 24 22 23 24 27 25 43 39 39 40 35 39 20 26 18 22 23 36
mcs50_r01_s100_AB03 21 88 23 25 25 30 25 160 160 158 39 40 162 22 22 21 25 38 82
mcs50_r01_s100_AB04 23 14 23 28 27 29 29 30 31 30 43 31 33 23 23 22 24 14 30
mcs50_r01_s100_AB05 23 24 22 25 26 29 26 63 61 66 42 48 58 23 22 22 25 12 28
mcs50_r01_s100_AB06 29 25 24 25 25 29 27 49 52 51 51 52 54 22 23 22 24 11 16
mcs50_r01_s100_AB07 20 46 26 25 25 28 24 144 149 146 43 36 153 21 21 20 23 8 16
mcs50_r01_s100_AB08 22 23 24 25 27 28 26 44 53 46 47 46 49 22 22 22 28 14 30
mcs50_r01_s100_AB09 18 16 20 21 22 24 23 8 8 11 32 50 10 19 18 18 21 9 9
mcs50_r01_s10_AB00 0 0 2 3 2 5 4 0 1 1 18 11 1 1 0 0 4 0 1
mcs50_r01_s10_AB01 0 0 1 3 2 6 3 0 2 2 17 21 2 1 0 0 4 0 1
mcs50_r01_s10_AB02 0 0 2 3 2 5 3 0 1 1 18 8 1 1 0 0 2 0 1
mcs50_r01_s10_AB03 0 0 2 3 3 5 3 0 1 4 9 31 2 1 0 0 4 0 2
mcs50_r01_s10_AB04 0 0 3 3 2 5 3 0 1 2 10 18 1 1 0 0 2 0 2
mcs50_r01_s10_AB05 0 0 1 3 4 6 2 1 2 4 8 28 3 0 0 0 2 0 2
mcs50_r01_s10_AB06 0 0 2 3 3 5 4 0 1 1 14 12 1 1 0 0 2 0 1
mcs50_r01_s10_AB07 0 0 2 3 3 4 5 0 1 2 8 10 2 1 0 0 3 0 2
mcs50_r01_s10_AB08 0 0 2 3 3 5 3 0 1 1 16 16 1 0 0 0 4 0 1
mcs50_r01_s10_AB09 0 0 2 3 5 7 2 0 1 1 18 18 2 0 0 0 2 0 1
mcs50_r01_s15_AB00 2 0 4 5 6 7 4 1 2 4 30 26 4 3 2 1 6 0 5
mcs50_r01_s15_AB01 1 0 3 5 5 7 6 1 2 4 27 17 5 2 2 1 5 0 5
mcs50_r01_s15_AB02 2 0 4 6 6 8 6 1 2 3 24 20 5 3 2 2 5 0 3
mcs50_r01_s15_AB03 3 0 3 4 6 9 6 1 1 4 12 12 4 3 2 2 6 0 3
mcs50_r01_s15_AB04 2 0 5 5 5 7 5 1 2 4 26 21 5 2 2 1 6 0 5
mcs50_r01_s15_AB05 2 0 4 5 5 8 5 1 3 5 17 23 5 2 2 1 6 0 7
mcs50_r01_s15_AB06 1 0 4 5 5 7 5 1 2 5 20 17 4 2 2 1 5 0 5
mcs50_r01_s15_AB07 2 0 4 5 6 6 6 1 2 4 26 34 4 2 2 1 5 0 4
mcs50_r01_s15_AB08 1 0 4 4 6 7 7 2 5 7 37 31 8 2 2 1 5 0 6
mcs50_r01_s15_AB09 2 0 3 5 6 8 6 1 2 5 24 28 4 5 2 2 5 0 4
mcs50_r01_s20_AB00 1 0 4 5 5 7 5 1 2 4 11 10 2 2 1 1 4 0 3
mcs50_r01_s20_AB01 2 0 4 4 5 8 5 1 2 4 30 30 5 2 2 2 6 0 4
mcs50_r01_s20_AB02 1 0 3 4 5 7 5 0 1 2 28 18 2 2 1 1 3 0 2
mcs50_r01_s20_AB03 1 0 4 4 5 7 6 1 2 5 25 28 4 1 1 1 5 0 4
mcs50_r01_s20_AB04 1 0 3 4 6 7 5 0 2 5 21 20 4 2 2 1 5 0 4
mcs50_r01_s20_AB05 1 0 4 5 6 7 6 1 2 4 12 34 4 3 1 1 7 0 4
mcs50_r01_s20_AB06 2 0 3 5 5 7 5 1 2 5 19 11 4 2 2 1 6 0 5
mcs50_r01_s20_AB07 1 0 3 5 5 7 5 1 2 5 20 20 6 2 2 1 5 0 5
mcs50_r01_s20_AB08 1 0 3 5 5 7 5 1 2 4 14 21 4 2 1 1 5 0 4
mcs50_r01_s20_AB09 1 0 3 5 5 6 5 1 2 3 38 35 4 2 1 1 5 0 4
mcs50_r01_s25_AB00 4 3 6 7 8 10 8 2 3 6 20 29 6 4 4 4 8 2 5
mcs50_r01_s25_AB01 6 2 6 7 8 11 7 1 3 6 46 27 5 4 4 4 8 0 6
mcs50_r01_s25_AB02 4 3 5 6 8 9 7 1 3 4 30 21 5 4 4 4 10 1 5
mcs50_r01_s25_AB03 4 2 6 6 7 9 7 1 3 6 24 20 7 4 4 4 8 0 5
mcs50_r01_s25_AB04 3 2 6 6 8 11 8 1 3 6 19 16 6 4 4 3 9 2 6
mcs50_r01_s25_AB05 4 3 5 6 9 9 6 2 2 5 32 30 5 4 4 4 9 2 5
mcs50_r01_s25_AB06 4 0 6 7 10 9 9 1 2 6 15 32 5 5 4 4 8 0 6
mcs50_r01_s25_AB07 3 3 5 6 7 9 7 2 2 9 22 20 6 4 3 3 7 1 6
mcs50_r01_s25_AB08 4 1 7 7 8 10 7 3 4 6 33 14 5 4 4 4 7 0 6
mcs50_r01_s25_AB09 3 3 7 6 7 8 8 2 3 6 19 30 7 3 4 3 8 1 6
mcs50_r01_s30_AB00 2 0 4 5 7 8 6 1 2 4 25 21 4 3 2 2 6 0 2
mcs50_r01_s30_AB01 2 0 3 5 6 8 6 1 2 3 11 10 5 3 2 1 5 0 4
mcs50_r01_s30_AB02 3 2 5 6 6 9 7 1 3 5 24 24 5 3 3 2 7 0 4
mcs50_r01_s30_AB03 1 0 4 5 5 6 5 0 2 4 35 10 3 2 1 1 4 0 3
mcs50_r01_s30_AB04 2 1 5 5 6 8 6 2 3 5 18 22 5 3 2 2 6 0 4
mcs50_r01_s30_AB05 2 0 4 5 5 8 5 1 2 4 19 27 4 3 2 2 4 0 3
mcs50_r01_s30_AB06 3 0 3 5 5 8 6 1 2 4 19 10 4 3 2 2 6 0 4
mcs50_r01_s30_AB07 2 0 4 6 5 10 7 1 2 5 26 25 5 3 2 2 7 0 4
mcs50_r01_s30_AB08 3 0 5 5 6 8 6 1 2 4 12 27 4 3 2 2 7 0 5
mcs50_r01_s30_AB09 3 0 6 6 7 10 7 2 3 5 12 14 5 4 3 3 5 0 4
mcs50_r01_s35_AB00 5 1 7 8 9 10 8 2 3 4 21 28 5 5 5 5 10 0 5
mcs50_r01_s35_AB01 4 6 5 7 8 10 8 2 3 6 24 21 6 5 4 3 7 1 5
mcs50_r01_s35_AB02 3 1 5 6 7 9 8 2 3 6 33 11 6 4 3 3 8 1 5
mcs50_r01_s35_AB03 4 1 6 6 8 11 9 2 3 6 25 45 5 4 4 4 9 0 5
mcs50_r01_s35_AB04 4 2 6 7 8 9 9 1 3 4 17 39 4 5 4 4 10 0 6
mcs50_r01_s35_AB05 5 2 7 8 8 9 9 3 4 5 30 29 5 5 5 5 9 1 6
mcs50_r01_s35_AB06 4 0 6 7 8 9 9 2 2 3 35 14 4 5 5 4 7 0 4
mcs50_r01_s35_AB07 4 0 6 7 7 8 8 1 3 5 19 22 4 5 4 3 6 0 5
mcs50_r01_s35_AB08 4 2 6 7 7 9 8 2 3 6 14 33 6 5 4 4 10 1 5
mcs50_r01_s35_AB09 4 0 6 6 8 10 9 1 2 5 14 28 5 5 4 4 9 0 4
mcs50_r01_s40_AB00 7 7 8 10 10 13 13 3 3 6 25 28 6 8 8 7 13 1 5
mcs50_r01_s40_AB01 6 9 9 8 10 12 10 4 3 5 18 21 5 8 6 6 10 2 5
mcs50_r01_s40_AB02 8 2 11 10 11 12 13 6 5 7 36 17 7 8 8 8 11 1 5
mcs50_r01_s40_AB03 6 4 9 9 9 13 11 3 3 5 14 24 5 7 6 6 10 1 4
mcs50_r01_s40_AB04 8 4 11 12 12 15 14 7 8 10 19 39 9 8 9 8 13 2 9
mcs50_r01_s40_AB05 12 20 9 11 12 11 11 11 12 13 33 25 12 9 8 8 13 2 7
mcs50_r01_s40_AB06 6 3 8 8 10 12 10 3 5 4 14 28 5 7 6 6 11 1 5
mcs50_r01_s40_AB07 6 3 8 10 10 12 10 5 3 6 15 36 6 7 6 6 10 2 6
mcs50_r01_s40_AB08 7 5 10 10 11 11 13 14 13 15 27 31 16 8 7 7 11 2 8
mcs50_r01_s40_AB09 7 2 9 9 13 12 10 2 3 6 27 18 6 7 7 6 10 0 5
mcs50_r01_s50_AB00 26 41 23 27 24 28 25 174 176 176 41 34 175 22 22 26 26 22 46
mcs50_r01_s50_AB01 15 15 17 19 19 23 21 22 9 9 43 31 9 16 16 17 19 7 12
mcs50_r01_s50_AB02 19 19 20 21 23 27 23 26 10 8 27 27 13 18 24 19 23 4 9
mcs50_r01_s50_AB03 19 14 18 20 22 27 23 48 22 23 32 35 29 18 18 18 23 5 19
mcs50_r01_s50_AB04 16 36 18 21 21 25 22 36 16 16 39 31 15 17 16 16 21 5 13
mcs50_r01_s50_AB05 15 20 18 19 18 22 21 9 6 11 32 41 10 16 15 15 22 3 7
mcs50_r01_s50_AB06 18 16 19 20 24 27 21 60 40 40 34 36 84 19 18 18 22 4 14
mcs50_r01_s50_AB07 17 21 20 22 22 23 21 35 48 35 44 59 27 18 17 17 22 5 24
mcs50_r01_s50_AB08 26 19 22 27 26 29 29 35 28 32 32 52 27 22 24 20 29 2 17
mcs50_r01_s50_AB09 21 13 22 25 27 28 26 30 32 17 43 42 37 21 21 21 26 4 16
mcs50_r01_s60_AB00 9 10 12 11 12 16 13 6 5 7 18 26 7 9 9 9 12 3 6
mcs50_r01_s60_AB01 9 11 13 13 13 16 15 4 5 6 27 22 6 10 9 9 12 3 6
mcs50_r01_s60_AB02 16 23 13 13 15 18 14 52 55 57 18 29 56 11 11 13 13 1 9
mcs50_r01_s60_AB03 9 14 11 13 12 17 13 4 5 23 28 18 6 10 10 9 11 1 4
mcs50_r01_s60_AB04 9 3 12 13 13 14 14 6 6 7 23 38 8 10 10 9 14 3 6
mcs50_r01_s60_AB05 11 4 11 14 15 18 14 3 4 5 18 19 5 11 11 15 12 2 6
mcs50_r01_s60_AB06 10 9 12 14 14 15 15 17 20 22 20 31 20 10 10 13 16 3 9
mcs50_r01_s60_AB07 16 10 14 17 17 18 15 32 35 35 38 45 34 12 13 12 17 4 12
mcs50_r01_s60_AB08 11 5 11 12 14 15 16 5 3 7 29 21 7 10 13 11 15 2 4
mcs50_r01_s60_AB09 11 6 12 13 15 14 14 9 7 11 34 30 12 11 10 12 16 1 5
mcs50_r01_s70_AB00 18 28 20 21 21 24 25 104 91 72 49 36 88 19 19 18 25 12 32
mcs50_r01_s70_AB01 19 9 19 25 23 26 25 11 13 13 29 27 13 18 19 21 23 10 11
mcs50_r01_s70_AB02 20 17 22 24 26 27 25 41 39 43 30 39 42 22 21 21 30 4 14
mcs50_r01_s70_AB03 15 17 18 18 20 20 19 14 13 16 34 27 12 17 16 19 17 13 11
mcs50_r01_s70_AB04 18 16 19 21 22 24 20 37 38 40 42 39 40 18 18 17 23 4 13
mcs50_r01_s70_AB05 20 34 21 23 24 24 22 13 13 16 35 44 18 20 20 19 25 15 12
mcs50_r01_s70_AB06 19 14 20 21 23 25 23 22 23 26 32 35 24 19 19 22 27 20 24
mcs50_r01_s70_AB07 17 18 19 20 21 24 21 55 55 56 30 37 56 17 18 21 25 8 18
mcs50_r01_s70_AB08 25 8 20 25 24 30 23 67 62 64 49 34 64 21 20 20 25 5 22
mcs50_r01_s70_AB09 30 40 28 29 31 31 28 11 18 18 41 45 13 26 25 24 31 5 13
mcs50_r01_s80_AB00 38 27 39 44 45 42 41 58 35 38 45 46 36 40 37 37 46 17 33
mcs50_r01_s80_AB01 37 72 37 38 40 41 40 107 99 94 53 58 95 36 36 35 40 42 84
mcs50_r01_s80_AB02 29 51 29 31 30 32 32 26 26 18 39 48 22 28 29 33 31 17 21
mcs50_r01_s80_AB03 39 35 39 42 43 44 40 551 554 548 54 66 558 39 38 37 41 32 57
mcs50_r01_s80_AB04 34 28 28 31 29 33 31 14 10 90 50 45 14 27 27 26 32 6 10
mcs50_r01_s80_AB05 34 41 34 36 31 37 39 199 197 198 43 45 198 32 32 31 34 11 38
mcs50_r01_s80_AB06 36 28 37 41 40 39 38 250 247 255 69 59 248 36 35 34 43 6 23
mcs50_r01_s80_AB07 41 46 38 39 39 41 37 83 82 88 43 55 82 36 38 35 44 18 56
mcs50_r01_s80_AB08 32 110 34 36 35 36 38 70 69 71 56 41 71 31 32 31 38 29 77
mcs50_r01_s80_AB09 34 26 34 36 37 38 37 30 17 20 50 51 38 35 34 42 38 13 16
mcs50_r01_s90_AB00 62 207 49 50 50 50 50 72 43 39 80 81 80 49 47 45 51 29 42
mcs50_r01_s90_AB01 56 397 53 53 55 57 55 357 162 163 73 85 162 53 54 50 56 49 116
mcs50_r01_s90_AB02 50 153 50 55 56 54 55 91 87 158 73 74 75 51 49 48 54 70 82
mcs50_r01_s90_AB03 46 74 46 45 47 48 48 49 46 48 68 67 46 45 47 55 49 46 45
mcs50_r01_s90_AB04 48 140 49 52 51 52 52 64 58 58 79 76 80 48 48 46 52 58 60
mcs50_r01_s90_AB05 46 57 48 51 53 53 55 179 202 72 76 76 73 47 47 46 51 17 38
mcs50_r01_s90_AB06 52 152 50 52 54 54 54 185 111 118 80 81 386 51 51 58 52 36 91
mcs50_r01_s90_AB07 49 138 49 51 50 54 54 134 134 126 82 66 144 49 49 46 54 66 118
mcs50_r01_s90_AB08 66 235 57 60 60 60 60 595 614 605 93 79 621 57 58 57 63 56 203
mcs50_r01_s90_AB09 59 214 53 56 58 54 55 417 455 3701 78 78 421 55 55 61 59 78 166
