instance clique james-cpp-max clique-par/t32 james-cpp-max-par/t32 clique-par/t2 clique-par/t4 clique-par/t8 clique-par/t16 clique-par/t32r
mcs10_b03m_s70_AB04 1000000 1000000 201289 68413 1000000 1000001 869251 368886 222790
mcs10_b03m_s70_AB05 1000000 1000000 79115 26016 1000000 844342 510662 170841 80077
mcs10_b03m_s70_AB06 1000000 1000000 765021 354634 1000000 1000000 1000001 1000001 648108
mcs10_b03m_s70_AB07 1000000 1000000 1000002 77725 1000000 1000001 1000000 1000001 1000002
mcs10_b03m_s70_AB08 1000000 977081 796510 3025 1000000 1000000 1000000 1000003 809546
mcs10_b03m_s70_AB09 526690 1000000 14450 920024 246843 94730 57822 26122 14495
mcs10_b03m_s80_AB00 1000000 1000000 1000002 1000002 1000001 1000001 1000001 1000001 1000002
mcs10_b03m_s80_AB01 1000000 1000000 1000002 150619 1000000 1000001 1000000 1000001 1000002
mcs10_b03m_s80_AB02 1000000 1000000 1000002 1000002 1000000 1000001 1000001 1000001 1000001
mcs10_b03m_s80_AB03 1000000 1000000 1000013 1000001 1000000 1000001 1000001 1000001 1000014
mcs10_b03m_s80_AB04 1000000 1000000 1000002 1000003 1000000 1000001 1000001 1000001 1000002
mcs10_b03m_s80_AB05 1000000 1000000 1000002 1000001 1000000 1000001 1000001 1000001 1000002
mcs10_b03m_s80_AB06 1000000 1000000 1000002 1000001 1000000 1000001 1000001 1000002 1000001
mcs10_b03m_s80_AB07 1000000 1000000 477676 205658 1000000 1000001 1000002 782695 462064
mcs10_b03m_s80_AB08 1000000 1000000 1000002 1000004 1000001 1000001 1000001 1000001 1000002
mcs10_b03m_s80_AB09 1000000 1000000 1000002 1000004 1000000 1000001 1000001 1000001 1000001
mcs10_b03m_s90_AB00 1000000 1000000 1000002 1000001 1000001 1000001 1000001 1000001 1000002
mcs10_b03m_s90_AB01 1000000 1000000 1000002 1000003 1000001 1000001 1000001 1000001 1000002
mcs10_b03m_s90_AB02 1000000 1000000 1000002 1000001 1000001 1000001 1000001 1000001 1000001
mcs10_b03m_s90_AB03 1000000 1000000 1000002 1000001 1000001 1000001 1000001 1000001 1000002
mcs10_b03m_s90_AB04 1000000 1000000 1000002 1000001 1000001 1000001 1000001 1000001 1000001
mcs10_b03m_s90_AB05 1000000 1000000 1000002 1000004 1000001 1000001 1000001 1000001 1000002
mcs10_b03m_s90_AB06 1000000 1000000 1000002 1000001 1000001 1000001 1000001 1000002 1000002
mcs10_b03m_s90_AB07 1000000 1000000 1000002 1000001 1000001 1000000 1000000 1000001 1000001
mcs10_b03m_s90_AB08 1000000 1000000 1000002 1000001 1000001 1000001 1000001 1000002 1000002
mcs10_b03m_s90_AB09 1000000 1000000 1000002 1000001 1000001 1000001 1000001 1000002 1000002
mcs10_b06_s100_AB00 227941 1000000 10635 1000001 141608 51284 35204 17312 10470
mcs10_b06_s100_AB01 280151 1000000 10015 1000002 145462 51878 35602 15322 8371
mcs10_b06_s100_AB02 6746 1000000 328 1000001 4182 1759 989 529 336
mcs10_b06_s100_AB03 634870 1000000 29012 1000002 383186 140682 96836 41805 28274
