instance kdown james-cpp-max-down kdown-par/t32 james-cpp-max-down-par/t32 kdown-par/t32r kdown-cilk/t32 kdown-cilk/t32r
si6_m4Dr2_m625.05 1358 15 68 12 64 171 172
si6_m4Dr2_m625.01 227 7 50 14 48 122 123
si6_m4Dr2_m625.06 221 7 45 13 49 129 125
si6_m4Dr2_m625.00 221 6 54 11 58 158 152
si6_m4Dr2_m625.03 246 6 56 12 55 150 134
si6_m4Dr2_m625.02 431 12 82 11 53 156 142
si6_m4Dr2_m625.07 275 6 55 10 47 136 152
si6_m4Dr2_m625.04 269 7 64 10 100 167 160
si2_m4D_m1296.01 359 97 1999 103 3049 3246 3829
si2_m4D_m1296.08 554 17 118 25 111 265 246
si2_m4D_m1296.06 904 233 811 106 671 4067 3573
si2_m4D_m1296.05 603 30 112 32 117 286 257
si2_m4D_m1296.09 2916 50 97 26 93 256 247
si2_m4D_m1296.03 291 93 2405 99 3703 3986 3518
si2_m4D_m1296.07 884 23 133 26 119 268 270
si2_m4D_m1296.02 974 27 113 41 112 255 261
si2_m4D_m1296.04 973 28 219 31 173 320 266
si2_m4D_m1296.00 611 29 176 28 192 331 279
si4_b03_m800.05 131 10 84 11 86 169 172
si4_b03_m800.00 106 7 82 11 94 204 211
si4_b03_m800.08 109 7 88 11 70 222 181
si4_b03_m800.09 107 7 85 11 77 200 194
si4_b03_m800.03 108 7 85 10 76 198 205
si4_b03_m800.02 106 7 77 12 76 183 184
si4_b03_m800.04 108 7 81 11 85 173 184
si4_b03_m800.01 106 8 74 11 78 174 182
si4_b03_m800.06 162 7 68 11 76 204 184
si4_b03_m800.07 146 13 74 12 69 174 195
si6_m4D_m1296.02 1787 70 5019 85 6356 10375 10543
si6_m4D_m1296.07 4863 82 1598 50 1771 2296 2125
si6_m4D_m1296.05 5761 83 3130 75 2779 3498 3361
si6_m4D_m1296.09 11880 136 3075 56 2619 3295 3663
si6_m4D_m1296.00 100002 87464 100035 84799 100049 100406 100445
si6_m4D_m1296.08 2242 85 2851 73 2437 9654 3618
si6_m4D_m1296.04 4852 103 8228 104 8316 13927 13087
si6_m4D_m1296.06 4630 83 1601 48 1827 2362 2504
si6_m4D_m1296.01 100002 25422 100029 23962 100030 100359 100358
si6_m4D_m1296.03 100002 1608 14511 1551 13892 13632 11002
si6_r001_m200.05 1416 29 193 6 222 288 206
si6_r001_m200.09 818 17 76 5 66 98 82
si6_r001_m200.07 19 1 10 2 8 70 27
si6_r001_m200.02 328 5 27 5 29 62 50
si6_r001_m200.01 338 1 32 4 35 59 54
si6_r001_m200.00 91 1 12 3 12 47 35
si6_r001_m200.04 3252 8 27 4 22 44 39
si6_r001_m200.06 23 0 10 3 10 39 34
si6_r001_m200.08 29 0 11 2 11 35 48
si6_r001_m200.03 22 1 11 4 11 47 28
si4_b06_m400.06 26 2 13 4 19 78 69
si4_b06_m400.07 44 2 21 5 22 56 58
si4_b06_m400.09 47 2 21 5 21 56 49
si4_b06_m400.01 27 2 23 5 22 67 51
si4_b06_m400.04 26 2 20 6 21 56 62
si4_b06_m400.03 26 2 14 5 22 50 57
si4_b06_m400.00 30 3 23 4 24 58 49
si4_b06_m400.05 28 3 20 4 21 51 48
si4_b06_m400.08 26 2 21 4 23 66 60
si4_b06_m400.02 26 3 20 5 23 54 54
si2_m4Dr6_m256.06 28 7 12 12 13 20 42
si2_m4Dr6_m256.05 11 1 8 3 10 25 27
si2_m4Dr6_m256.09 72 10 8 5 8 31 35
si2_m4Dr6_m256.00 36 7 15 5 11 46 43
si2_m4Dr6_m256.07 10 1 9 3 9 26 36
si2_m4Dr6_m256.04 18 1 8 5 8 29 30
si2_m4Dr6_m256.02 10 2 9 4 8 31 42
si2_m4Dr6_m256.01 16 31 8 4 8 17 25
si2_m4Dr6_m256.08 126 5 16 11 18 22 23
si2_m4Dr6_m256.03 27 1 8 4 7 19 23
si6_r01_m200.04 703 1 65 4 65 80 84
si6_r01_m200.08 549 6 54 3 52 72 65
si6_r01_m200.02 1403 9 159 4 162 180 183
si6_r01_m200.09 2497 1 247 6 260 285 285
si6_r01_m200.07 647 5 60 5 64 91 94
si6_r01_m200.00 669 14 59 10 65 99 82
si6_r01_m200.01 6830 3 656 9 655 673 671
si6_r01_m200.03 1474 35 174 4 175 183 190
si6_r01_m200.05 2436 6 257 36 251 285 282
si6_r01_m200.06 2404 4 253 19 268 284 299
si2_b03m_m800.03 168 10 70 15 73 170 167
si2_b03m_m800.02 204 11 63 13 65 168 152
si2_b03m_m800.09 153 9 63 15 62 157 147
si2_b03m_m800.04 141 9 63 11 65 158 149
si2_b03m_m800.06 134 7 52 11 52 135 131
