instance kdown james-cpp-max-down
si2_r005_m200.06 10458 19804
si2_r005_m200.00 31819 150993
si2_r005_m200.07 6128 68234
si4_b03m_m400.03 63 856
si4_b03m_m400.09 44 889
si4_b03m_m400.08 97 1231
si4_b03m_m400.04 61 1816
si4_b03m_m400.00 59 934
si4_b03m_m400.01 67 909
si4_b03m_m400.07 56 1122
si4_b03m_m400.02 65 843
si4_b03m_m400.06 60 841
si4_b03m_m400.05 48 818
si2_r01_m600.01 NaN 2475042
si2_r01_m600.06 NaN 8545713
si2_r01_m600.09 NaN 18796993
si2_r01_m600.08 NaN 35323499
si2_r01_m600.04 NaN 7376990
si2_r01_m600.02 NaN 9781721
si2_r01_m600.00 NaN 4680247
si2_r01_m600.07 NaN 3052532
si2_r01_m600.03 NaN 4589247
si2_r01_m600.05 NaN 6460078
si4_m4Dr6_m256.01 9 544
si4_m4Dr6_m256.00 305 4210
si4_m4Dr6_m256.05 595 7013
si4_m4Dr6_m256.08 91 2278
si4_m4Dr6_m256.03 63 769
si4_m4Dr6_m256.06 96 2115
si4_m4Dr6_m256.09 12 570
si4_m4Dr6_m256.07 5114 17054
si4_m4Dr6_m256.02 49 1077
si4_m4Dr6_m256.04 599 3136
si2_b03m_m400.02 25 7892
si2_b03m_m400.00 43 718
si2_b03m_m400.01 36 693
si2_b03m_m400.05 431 4540
si2_b03m_m400.08 45 669
si2_b03m_m400.07 45 805
si2_b03m_m400.09 40 650
si2_b03m_m400.03 32 663
si2_b03m_m400.04 40 676
si2_b03m_m400.06 39 701
si2_b03m_m200.05 14 327
si2_b03m_m200.03 25 333
si2_b03m_m200.00 15 316
si2_b03m_m200.08 14 323
si2_b03m_m200.06 19 318
si2_b03m_m200.02 20 340
si2_b03m_m200.09 22 348
si2_b03m_m200.04 28 357
si2_b03m_m200.01 28 365
si2_b03m_m200.07 22 355
si4_r001_m200.04 6420 17577
si4_r001_m200.07 11836 6146
si4_r001_m200.00 39 118781
si4_r001_m200.01 853 956
si4_r001_m200.03 90662 596705
si4_r001_m200.06 25 3854
si4_r001_m200.05 6019 53687
si4_r001_m200.08 66 2752
si4_r001_m200.09 334727 658282
si4_r001_m200.02 6516 28816
si2_m4D_m256.08 29 643
si2_m4D_m256.03 29 455
si2_m4D_m256.02 7 1118
si2_m4D_m256.06 67 405
si2_m4D_m256.04 13 382
si2_m4D_m256.07 26 1184
si2_m4D_m256.01 29 452
si2_m4D_m256.09 74 383
si2_m4D_m256.00 16 396
si2_m4D_m256.05 60 421
si6_r01_m400.04 120026 14074
si6_r01_m400.08 106585 19964
si6_r01_m400.07 46619 1007
si6_r01_m400.06 24555 19767
si6_r01_m400.05 NaN 3624
si6_r01_m400.02 165704 2390
si6_r01_m400.00 NaN 11686
si6_r01_m400.03 16330 57645
si6_r01_m400.01 33603 59494
si6_r01_m400.09 124001 130521
si2_m4Dr4_m625.07 2089 17203
si2_m4Dr4_m625.02 43 1037
si2_m4Dr4_m625.03 18 961
si2_m4Dr4_m625.00 22 1090
si2_m4Dr4_m625.05 12 904
si2_m4Dr4_m625.06 895 15463
si2_m4Dr4_m625.09 234817 3094596
si2_m4Dr4_m625.01 168 2033
si2_m4Dr4_m625.08 446 31161
si2_m4Dr4_m625.04 118129 456328
si4_r01_m400.01 55016 69448
si4_r01_m400.08 NaN 2774
si4_r01_m400.02 NaN 58292
si4_r01_m400.03 NaN 152480
si4_r01_m400.07 NaN 42201
si4_r01_m400.06 76977 8473
si4_r01_m400.04 NaN 1426255
si4_r01_m400.00 NaN 894175
si4_r01_m400.05 125590 125528
si4_r01_m400.09 329064 765179
si2_b09m_m400.09 18 607
si2_b09m_m400.03 19 1604
si2_b09m_m400.01 31 637
si2_b09m_m400.08 53 842
si2_b09m_m400.05 27 2814
si2_b09m_m400.06 25 694
si2_b09m_m400.00 10 627
si2_b09m_m400.02 21 669
si2_b09m_m400.04 15 672
si2_b09m_m400.07 16 632
si2_b09_m800.07 5 1131
si2_b09_m800.04 5 1131
si2_b09_m800.05 5 1132
si2_b09_m800.00 6 1132
si2_b09_m800.02 5 1131
si2_b09_m800.01 5 1131
si2_b09_m800.08 5 1131
si2_b09_m800.09 6 1132
si2_b09_m800.03 4 1131
si2_b09_m800.06 6 1132
si6_b03_m400.04 4 883
si6_b03_m400.09 4 883
si6_b03_m400.02 4 883
si6_b03_m400.06 4 883
si6_b03_m400.05 4 883
si6_b03_m400.08 4 883
si6_b03_m400.01 4 883
si6_b03_m400.07 4 883
si6_b03_m400.03 4 883
si6_b03_m400.00 4 883
si2_r005_m600.03 161507 540020
si2_r005_m600.00 NaN 6705954
si2_r005_m600.06 NaN 2111770
si2_r005_m600.01 NaN 5404280
si2_r005_m600.04 NaN 644749
si2_r005_m600.09 276614 453674
si2_r005_m600.05 NaN 1105452
si2_r005_m600.02 NaN 2348279
si2_r005_m600.08 NaN 3747168
si2_r005_m600.07 111883 1060443
si4_r01_m600.05 NaN 116678
si4_r01_m600.02 NaN 318526
si4_r01_m600.03 NaN 1049229
si4_r01_m600.07 NaN 210226
si4_r01_m600.08 NaN 639493
si4_r01_m600.06 NaN 1443325
si4_r01_m600.01 NaN 24342
si4_r01_m600.04 NaN 5453
si4_r01_m600.00 NaN 4636
si4_r01_m600.09 NaN 944416
si2_b09_m400.04 5 571
si2_b09_m400.08 5 571
si2_b09_m400.05 6 572
si2_b09_m400.01 5 571
si2_b09_m400.03 6 572
si2_b09_m400.02 6 572
si2_b09_m400.07 6 572
si2_b09_m400.09 5 571
si2_b09_m400.06 6 572
si2_b09_m400.00 5 571
si4_b06_m200.06 4 366
si4_b06_m200.03 4 366
si4_b06_m200.02 4 366
si4_b06_m200.07 4 366
si4_b06_m200.05 4 366
si4_b06_m200.08 4 366
si4_b06_m200.00 4 366
si4_b06_m200.04 4 366
si4_b06_m200.01 4 366
si4_b06_m200.09 4 366
si4_r005_m400.06 52194 6279
si4_r005_m400.03 46036 110644
si4_r005_m400.07 75345 60763
si4_r005_m400.01 19654 10483
si4_r005_m400.04 39095 74070
si4_r005_m400.00 40878 20601
si4_r005_m400.09 12982 9154
si4_r005_m400.05 12787 16376
si4_r005_m400.08 7491 1658
si4_r005_m400.02 17470 180824
si4_m4Dr2_m1296.07 41 2562
si4_m4Dr2_m1296.00 39 2561
si4_m4Dr2_m1296.05 41 2461
si4_m4Dr2_m1296.04 47 2901
si4_m4Dr2_m1296.08 811 13059
si4_m4Dr2_m1296.01 221 3767
si4_m4Dr2_m1296.06 139 2978
si4_m4Dr2_m1296.02 59 2517
si4_m4Dr2_m1296.03 682 2772
si4_m4Dr2_m1296.09 35 2428
si6_b09_m800.03 6 1772
si6_b09_m800.09 6 1772
si6_b09_m800.07 5 1772
si6_b09_m800.05 5 1771
si6_b09_m800.04 5 1772
si6_b09_m800.01 5 1771
si6_b09_m800.00 6 1772
si6_b09_m800.02 6 1772
si6_b09_m800.06 6 1772
si6_b09_m800.08 5 1771
si6_b06m_m400.00 11 924
si6_b06m_m400.08 8 953
si6_b06m_m400.03 11 909
si6_b06m_m400.04 11 936
si6_b06m_m400.06 11 908
si6_b06m_m400.07 12 919
si6_b06m_m400.09 15 929
si6_b06m_m400.02 9 987
si6_b06m_m400.01 16 948
si6_b06m_m400.05 9 955
si2_m4Dr4_m1296.08 7242 13178
si2_m4Dr4_m1296.07 281 4117
