instance clique james-cpp-max clique-par/t32 james-cpp-max-par/t32
mcs10_m2Dr6_s40_AB04 16 0 12 1
mcs10_m2Dr6_s40_AB05 15 0 19 1
mcs10_m2Dr6_s40_AB06 14 0 16 1
mcs10_m2Dr6_s40_AB07 16 0 12 2
mcs10_m2Dr6_s40_AB08 9 0 14 1
mcs10_m2Dr6_s40_AB09 13 0 12 1
mcs10_m2Dr6_s50_AB00 42 0 48 2
mcs10_m2Dr6_s50_AB01 33 0 37 1
mcs10_m2Dr6_s50_AB02 22 0 39 2
mcs10_m2Dr6_s50_AB03 39 0 38 1
mcs10_m2Dr6_s50_AB04 43 0 26 1
mcs10_m2Dr6_s50_AB05 40 0 41 1
mcs10_m2Dr6_s50_AB06 54 0 39 1
mcs10_m2Dr6_s50_AB07 37 0 47 1
mcs10_m2Dr6_s50_AB08 23 0 38 1
mcs10_m2Dr6_s50_AB09 30 0 25 2
mcs10_m2Dr6_s60_AB00 29 0 22 2
mcs10_m2Dr6_s60_AB01 18 0 30 1
mcs10_m2Dr6_s60_AB02 16 0 17 1
mcs10_m2Dr6_s60_AB03 21 0 19 1
mcs10_m2Dr6_s60_AB04 21 0 18 1
mcs10_m2Dr6_s60_AB05 16 0 19 2
mcs10_m2Dr6_s60_AB06 17 0 20 1
mcs10_m2Dr6_s60_AB07 25 0 19 1
mcs10_m2Dr6_s60_AB08 30 0 18 2
mcs10_m2Dr6_s60_AB09 19 0 31 1
mcs10_m2Dr6_s70_AB00 30 0 26 1
mcs10_m2Dr6_s70_AB01 41 0 35 2
mcs10_m2Dr6_s70_AB02 32 0 34 1
mcs10_m2Dr6_s70_AB03 50 0 45 1
mcs10_m2Dr6_s70_AB04 50 1 30 2
mcs10_m2Dr6_s70_AB05 35 0 35 1
mcs10_m2Dr6_s70_AB06 46 0 49 2
mcs10_m2Dr6_s70_AB07 51 0 29 1
mcs10_m2Dr6_s70_AB08 27 0 36 1
mcs10_m2Dr6_s70_AB09 27 0 28 1
mcs10_m2Dr6_s80_AB00 48 0 46 2
mcs10_m2Dr6_s80_AB01 57 1 55 1
mcs10_m2Dr6_s80_AB02 72 1 76 2
mcs10_m2Dr6_s80_AB03 88 0 65 2
mcs10_m2Dr6_s80_AB04 84 1 68 1
mcs10_m2Dr6_s80_AB05 59 0 54 1
mcs10_m2Dr6_s80_AB06 57 0 52 1
mcs10_m2Dr6_s80_AB07 50 0 59 2
mcs10_m2Dr6_s80_AB08 93 0 62 1
mcs10_m2Dr6_s80_AB09 59 1 69 1
mcs10_m2Dr6_s90_AB00 96 0 107 2
mcs10_m2Dr6_s90_AB01 121 1 101 3
