instance clique james-cpp-max kdown clique-par/t32 james-cpp-max-par/t32 kdown-par/t32 james-cpp-max-par/t4 james-cpp-max-par/t16 james-cpp-max-par/t32r kdown-par/t4 kdown-par/t16 kdown-par/t32r
mcs10_r01_s25_AB04 6120 772 20465 368 55 4462 288 117 85 7853 3447 4175
mcs10_r01_s25_AB05 8183 608 24990 374 70 5754 284 109 72 11449 4592 5722
mcs10_r01_s25_AB06 4591 181 6670 230 19 1479 82 30 22 2710 1165 1467
mcs10_r01_s25_AB07 3033 121 13657 180 24 1933 92 30 25 3665 1498 1936
mcs10_r01_s25_AB08 6239 469 6649 319 40 3526 204 70 48 4952 3196 3671
mcs10_r01_s25_AB09 4481 508 13569 248 53 3268 280 99 78 6165 2727 3374
mcs10_r01_s30_AB00 516965 11876 599046 16386 1401 99791 5243 1561 1201 219533 82358 98219
mcs10_r01_s30_AB01 342638 8183 211598 10772 756 72247 2512 977 532 77690 56239 64616
mcs10_r01_s30_AB02 193250 5417 351013 5698 673 33327 2294 869 641 89728 31096 33217
mcs10_r01_s30_AB03 195567 11169 924099 6384 1220 111864 5264 1750 1373 243149 104799 107905
mcs10_r01_s30_AB04 120487 5268 206047 3954 931 37640 2327 1203 1005 75216 30697 38594
mcs10_r01_s30_AB05 179631 9288 465112 5815 848 80865 3326 1444 979 167932 71691 79527
mcs10_r01_s30_AB06 336080 11338 553031 10638 1464 111332 4370 1667 1151 196575 84898 101160
mcs10_r01_s30_AB07 206878 6043 327847 6692 1262 58020 2813 1311 1071 130063 52109 60198
mcs10_r01_s30_AB08 341678 11948 554744 10829 1560 101610 4861 1949 1557 206230 91844 104466
mcs10_r01_s30_AB09 229060 9809 465281 7336 1262 108484 4067 1614 1353 181363 80045 97301
mcs10_r01_s35_AB00 1000000 68073 1000000 235266 7448 453482 28469 9545 7753 977181 541856 482320
mcs10_r01_s35_AB01 1000000 118480 1000000 191086 25589 945140 45926 22241 19390 1000000 775466 907625
mcs10_r01_s35_AB02 1000000 115129 1000000 130995 15749 1000001 44335 20644 16387 1000000 1000000 1000001
mcs10_r01_s35_AB03 1000000 117984 1000000 181727 17262 897911 62190 20419 17787 1000000 838477 888461
mcs10_r01_s35_AB04 1000000 107193 1000000 344739 14649 774611 40773 17315 15018 1000000 671049 776024
mcs10_r01_s35_AB05 1000000 156799 1000000 158880 16096 1000001 66218 23055 16850 1000000 1000000 1000001
mcs10_r01_s35_AB06 1000000 61588 1000000 117638 6060 685620 23027 6966 4782 1000000 565773 586492
mcs10_r01_s35_AB07 1000000 220759 1000000 311876 20639 1000001 95531 30206 20765 1000000 1000000 1000001
mcs10_r01_s35_AB08 1000000 127458 1000000 184874 17996 1000001 74846 23072 18291 1000000 978783 1000001
mcs10_r01_s35_AB09 1000000 173823 1000000 148925 20805 1000001 85572 26620 20364 1000000 1000000 1000001
mcs10_r01_s40_AB00 1000000 1000000 1000000 1000003 254411 1000001 879405 310511 251049 1000000 1000000 1000001
mcs10_r01_s40_AB01 1000000 1000000 1000000 1000002 210177 1000001 357494 190215 157130 1000000 1000000 1000001
mcs10_r01_s40_AB02 1000000 1000000 1000000 1000003 776809 1000001 1000000 891590 770863 1000000 1000000 1000001
mcs10_r01_s40_AB03 1000000 1000000 1000000 1000003 182676 1000001 802439 246174 185389 1000000 1000000 1000001
mcs10_r01_s40_AB04 1000000 1000000 1000000 1000003 233420 1000001 649324 300153 235088 1000000 1000000 1000001
mcs10_r01_s40_AB05 1000000 1000000 1000000 1000002 369086 1000001 1000000 444024 360676 1000000 1000000 1000001
mcs10_r01_s40_AB06 1000000 1000000 1000000 1000003 277592 1000001 546695 236301 204811 1000000 1000000 1000001
mcs10_r01_s40_AB07 1000000 1000000 1000000 1000002 215138 1000001 535263 260253 214315 1000000 1000000 1000001
mcs10_r01_s40_AB08 1000000 1000000 1000000 1000003 166485 1000001 533069 232698 164112 1000000 1000000 1000001
mcs10_r01_s40_AB09 1000000 1000000 1000000 1000003 402970 1000001 997533 479357 403576 1000000 1000000 1000001
mcs10_r01_s50_AB00 1000000 1000000 1000000 1000003 1000001 1000001 1000000 1000000 1000000 1000000 1000000 1000001
mcs10_r01_s50_AB01 1000000 1000000 1000000 1000004 1000001 1000001 1000000 1000000 1000001 1000000 1000000 1000001
mcs10_r01_s50_AB02 1000000 1000000 1000000 1000004 1000001 1000001 1000000 1000000 1000001 1000000 1000000 1000001
mcs10_r01_s50_AB03 1000000 1000000 1000000 1000003 1000001 1000001 1000000 1000000 1000001 1000000 1000000 1000001
mcs10_r01_s50_AB04 1000000 1000000 1000000 1000004 1000001 1000001 1000000 1000000 1000001 1000000 1000000 1000001
mcs10_r01_s50_AB05 1000000 1000000 1000000 1000003 1000001 1000001 1000000 1000000 1000001 1000000 1000000 1000001
mcs10_r01_s50_AB06 1000000 1000000 1000000 1000004 1000001 1000001 1000000 1000000 1000001 1000000 1000000 1000001
mcs10_r01_s50_AB07 1000000 1000000 1000000 1000003 1000001 1000001 1000000 1000000 1000001 1000000 1000000 1000001
mcs10_r01_s50_AB08 1000000 1000000 1000000 1000004 1000001 1000001 1000000 1000000 1000001 1000000 1000000 1000001
mcs10_r01_s50_AB09 1000000 1000000 1000000 1000003 1000001 1000001 1000000 1000000 1000001 1000000 1000000 1000001
