instance clique james-cpp-max kdown clique-par/t8 clique-par/t16 clique-par/t32 clique-par/t64 clique-par/t32r james-cpp-max-par/t8 james-cpp-max-par/t16 james-cpp-max-par/t32 kdown-par/t4 kdown-par/t8 kdown-par/t16 kdown-par/t32 kdown-par/t64 clique-cilk/t32 kdown-cilk/t32 clique-cilk/t32r kdown-cilk/t32r kdown-par/t32r james-cpp-max-par/t32r
mcs10_m2D_s40_AB07 100000 49706 100000 100003 100003 100005 100007 100004 9980 7926 5507 100000 100000 100001 100002 100006 100001 100002 100001 100002 100002 6442
mcs10_m2D_s40_AB08 100000 24494 100000 100003 100003 100005 100007 100005 7100 3913 3648 100000 100000 100001 100002 100006 100001 100002 100001 100002 100002 2880
mcs10_m2D_s40_AB09 100000 76805 100000 100003 100003 100005 100006 100004 22128 15987 10173 100000 100000 100001 100002 100007 100001 100002 100001 100002 100002 9758
mcs10_m2D_s50_AB00 100000 100000 100000 100004 100005 100006 100008 100006 100000 100000 100002 100000 100000 100001 100002 100007 100002 100003 100003 100002 100003 100001
mcs10_m2D_s50_AB01 100001 100000 100000 100004 100005 100006 100008 100006 100000 100001 100002 100000 100000 100001 100003 100006 100002 100002 100002 100002 100002 100002
mcs10_m2D_s50_AB02 100001 100000 100000 100004 100005 100007 100009 100006 100000 100001 100002 100000 100000 100001 100002 100007 100002 100002 100003 100002 100003 100001
mcs10_m2D_s50_AB03 100001 100000 100000 100004 100005 100006 100007 100006 100000 100001 100001 100000 100000 100001 100003 100006 100002 100006 100002 100006 100003 100001
mcs10_m2D_s50_AB04 100000 100000 100000 100004 100004 100006 100008 100006 100000 100000 100001 100000 100000 100001 100002 100007 100002 100003 100002 100003 100002 100001
mcs10_m2D_s50_AB05 100001 100000 100000 100005 100005 100006 100009 100006 100000 100000 100002 100000 100000 100001 100002 100006 100002 100002 100002 100002 100002 100002
mcs10_m2D_s50_AB06 100000 100000 100000 100004 100004 100006 100007 100006 100000 100001 98020 100000 100000 100001 100002 100007 100002 100003 100002 100003 100003 82155
mcs10_m2D_s50_AB07 100001 100000 100000 100004 100004 100006 100008 100006 100000 100001 100001 100000 100000 100001 100002 100006 100003 100002 100003 100002 100002 100002
mcs10_m2D_s50_AB08 100000 100000 100000 100004 100004 100006 100009 100006 100000 100000 100002 100000 100000 100001 100003 100007 100002 100002 100002 100002 100003 100002
mcs10_m2D_s50_AB09 100000 100000 100000 100004 100005 100006 100009 100006 100000 100000 100001 100000 100000 100001 100003 100007 100002 100004 100002 100004 100003 100001
mcs10_m2Dr4_s40_AB00 100000 100000 100000 100003 100003 100005 100007 100005 17579 10295 8417 100000 100000 100001 100002 100006 100001 100002 100001 100002 100003 7822
mcs10_m2Dr4_s40_AB01 100000 100000 100000 100002 100003 100005 100007 100004 18648 11398 9156 100000 100000 100001 100003 100006 100001 100001 100001 100001 100002 9119
mcs10_m2Dr4_s40_AB02 100000 100000 100000 100003 100003 100004 100007 100005 100000 64935 48149 100000 100000 100001 100003 100006 100001 100001 100001 100002 100002 48506
mcs10_m2Dr4_s40_AB03 100000 100000 100000 100003 100003 100006 100007 100005 35002 23552 19397 100000 100000 100001 100002 100007 100001 100002 100001 100002 100003 20303
mcs10_m2Dr4_s40_AB04 100000 100000 100000 100003 100003 100004 100007 100005 68643 34853 29325 100000 100000 100001 100003 100007 100001 100002 100001 100002 100002 27216
mcs10_m2Dr4_s40_AB05 100000 100000 100000 100003 100003 100005 100007 100005 33669 22777 18629 100000 100000 100001 100003 100006 100001 100003 100001 100003 100002 19569
mcs10_m2Dr4_s40_AB06 100000 100000 100000 100003 100003 100006 100006 100005 100000 100001 84341 100000 100000 100001 100002 100006 100000 100001 100001 100002 100002 83649
mcs10_m2Dr4_s40_AB07 100000 100000 100000 100003 100003 100005 100007 100004 59368 28364 23791 100000 100000 100001 100003 100007 100001 100001 100001 100001 100002 21814
mcs10_m2Dr4_s40_AB08 100000 100000 100000 100003 100003 100005 100007 100004 29207 20674 20197 100000 100000 100001 100003 100007 100001 100002 100001 100002 100002 18963
mcs10_m2Dr4_s40_AB09 100000 100000 100000 100003 100003 100005 100008 100005 41056 21210 16554 100000 100000 100001 100003 100006 100001 100004 100001 100004 100003 16533
mcs10_m2Dr4_s50_AB00 100000 100000 100000 100004 100004 100006 100008 100005 100000 100000 100001 100000 100000 100001 100002 100007 100002 100002 100002 100002 100003 100002
mcs10_m2Dr4_s50_AB01 100000 100000 100000 100004 100005 100006 100007 100006 100000 100000 100001 100000 100000 100001 100002 100007 100002 100002 100002 100002 100002 100002
mcs10_m2Dr4_s50_AB02 100000 100000 100000 100005 100005 100005 100008 100006 100000 100001 100001 100000 100000 100001 100003 100007 100002 100002 100002 100002 100003 100002
mcs10_m2Dr4_s50_AB03 100000 100000 100000 100004 100004 100006 100009 100006 100000 100000 100002 100000 100000 100001 100003 100007 100002 100002 100005 100003 100002 100002
mcs10_m2Dr4_s50_AB04 100001 100000 100000 100003 100005 100006 100008 100006 100000 100000 100001 100000 100000 100001 100002 100006 100002 100002 100002 100003 100003 100002
mcs10_m2Dr4_s50_AB05 100001 100000 100000 100005 100004 100006 100008 100006 100000 100001 100001 100000 100000 100001 100002 100007 100002 100002 100002 100002 100003 100001
mcs10_m2Dr4_s50_AB06 100000 100000 100000 100004 100004 100006 100009 100005 100000 100000 100002 100000 100000 100001 100002 100006 100002 100002 100002 100002 100003 100002
mcs10_m2Dr4_s50_AB07 100001 100000 100000 100004 100004 100006 100008 100006 100000 100000 100001 100000 100000 100001 100003 100006 100002 100002 100002 100002 100002 100002
