instance clique james-cpp-max clique-par/t8 clique-par/t16 clique-par/t32 clique-par/t64 clique-par/t32r james-cpp-max-par/t8 james-cpp-max-par/t16 james-cpp-max-par/t32 clique-cilk/t32 clique-cilk/t32r james-cpp-max-par/t32r
mcs30_r01_s50_AB00 612 3333 95 72 58 58 62 1154 880 847 79 104 910
mcs30_r01_s50_AB01 1965 3285 261 160 126 135 127 2601 2656 2643 187 177 2613
mcs30_r01_s50_AB02 255 1910 51 40 34 41 39 624 819 447 66 50 661
mcs30_r01_s50_AB03 194 571 46 35 35 42 34 203 176 151 59 47 155
mcs30_r01_s50_AB04 505 2011 87 57 47 61 52 716 650 701 71 66 666
mcs30_r01_s50_AB05 510 1840 84 55 48 70 51 604 585 519 62 64 494
mcs30_r01_s50_AB06 286 879 55 39 39 38 41 314 250 236 48 45 244
mcs30_r01_s50_AB07 415 798 73 51 48 61 46 267 224 213 70 55 206
mcs30_r01_s50_AB08 618 1343 100 66 52 57 54 724 542 542 66 74 512
mcs30_r01_s50_AB09 552 1900 87 58 58 59 58 868 761 585 72 88 606
mcs30_r01_s60_AB00 74 1069 20 20 21 24 22 795 780 799 27 51 769
mcs30_r01_s60_AB01 81 904 24 23 25 25 25 461 482 480 42 38 462
mcs30_r01_s60_AB02 39 166 15 16 21 19 18 94 95 102 30 30 96
mcs30_r01_s60_AB03 42 358 16 18 19 19 17 326 310 326 33 35 325
mcs30_r01_s60_AB04 22 273 13 16 16 16 15 217 212 220 28 48 227
mcs30_r01_s60_AB05 28 417 13 14 15 18 15 78 96 78 54 31 90
mcs30_r01_s60_AB06 79 362 22 19 20 24 23 322 320 330 28 39 334
mcs30_r01_s60_AB07 55 552 18 19 20 22 21 290 294 323 37 31 298
mcs30_r01_s60_AB08 28 192 13 18 17 19 18 81 76 83 38 32 76
mcs30_r01_s60_AB09 69 501 20 18 22 21 19 360 365 374 31 32 365
mcs30_r01_s70_AB00 550 3654 82 59 54 54 52 2240 2528 2168 67 71 2160
mcs30_r01_s70_AB01 139 2053 33 27 32 34 30 996 957 972 50 66 1222
mcs30_r01_s70_AB02 741 6364 110 59 52 64 57 3258 2967 2965 86 74 3016
mcs30_r01_s70_AB03 1230 9908 168 102 67 106 73 6276 6289 6702 107 134 6386
mcs30_r01_s70_AB04 353 5955 69 51 46 49 51 2809 2463 2522 62 53 2499
mcs30_r01_s70_AB05 509 2456 89 56 50 54 52 1051 1040 1033 68 57 995
mcs30_r01_s70_AB06 428 2567 69 49 47 59 43 1113 1595 1370 82 52 1558
mcs30_r01_s70_AB07 555 3950 89 63 61 66 57 1483 1651 1241 78 83 1204
mcs30_r01_s70_AB08 128 1747 32 25 34 27 28 498 556 426 40 55 455
mcs30_r01_s70_AB09 180 4604 41 30 38 32 35 1759 1258 1152 40 39 1386
mcs30_r01_s80_AB00 1694 15469 240 160 125 160 123 7597 6574 4974 155 158 6361
mcs30_r01_s80_AB01 2267 12060 293 164 120 131 123 5438 3977 3868 180 191 3917
mcs30_r01_s80_AB02 5815 8734 685 393 252 260 246 7094 7116 7116 368 359 7156
mcs30_r01_s80_AB03 5003 12007 616 328 172 185 182 5377 5339 5329 259 271 5449
mcs30_r01_s80_AB04 1912 25528 276 149 128 126 129 9844 8218 7464 170 174 7239
mcs30_r01_s80_AB05 1426 14777 218 138 132 123 120 5818 5551 5537 165 139 5476
mcs30_r01_s80_AB06 2536 43406 248 153 123 149 127 17409 16915 16796 171 175 23494
mcs30_r01_s80_AB07 11338 44640 1285 715 493 521 484 15778 13820 13010 623 682 16671
mcs30_r01_s80_AB08 1425 20624 191 123 96 124 95 9649 6533 7052 122 113 6924
mcs30_r01_s80_AB09 3087 35665 451 253 192 201 184 16426 14927 14811 274 276 14931
mcs30_r01_s90_AB00 22914 100000 3029 1673 1431 1525 1446 54077 48840 49170 2074 2098 49203
mcs30_r01_s90_AB01 22218 100000 2758 1467 1109 1169 1125 98398 92868 92375 1842 1779 92901
mcs30_r01_s90_AB02 5755 35997 637 314 191 268 198 20848 20582 20573 322 319 20704
mcs30_r01_s90_AB03 10953 99092 1535 828 450 579 500 17672 15154 18175 904 968 16005
mcs30_r01_s90_AB04 28965 100000 3488 1763 1269 1280 1281 41219 23639 39674 2406 2257 23830
mcs30_r01_s90_AB05 8588 42946 1178 552 395 308 394 7667 6141 7894 537 559 6145
mcs30_r01_s90_AB06 10194 100000 1393 788 727 1096 711 32490 29793 32598 911 913 32178
mcs30_r01_s90_AB07 7793 43453 968 464 250 280 247 16579 15105 15017 454 406 15330
mcs30_r01_s90_AB08 14730 100000 1759 990 850 815 846 42776 40578 36748 1205 1250 36557
mcs30_r01_s90_AB09 5595 39647 810 384 327 369 347 17011 12726 13035 474 515 12804
mcs30_r02_s100_AB00 23 211 21 23 23 26 24 200 199 197 40 38 198
mcs30_r02_s100_AB01 29 186 24 25 27 27 26 182 178 188 44 54 175
mcs30_r02_s100_AB02 21 151 20 21 23 24 22 93 84 98 32 36 101
mcs30_r02_s100_AB03 17 151 17 21 20 22 21 95 101 99 39 41 102
mcs30_r02_s100_AB04 26 183 21 24 22 24 26 112 113 139 32 39 127
mcs30_r02_s100_AB05 31 257 23 23 27 29 27 213 228 226 50 46 228
mcs30_r02_s100_AB06 24 156 21 22 23 26 22 148 151 151 32 45 152
mcs30_r02_s100_AB07 26 373 22 26 25 27 25 273 277 279 39 35 279
mcs30_r02_s100_AB08 22 162 19 21 23 22 22 99 101 110 30 43 105
mcs30_r02_s100_AB09 28 198 23 23 23 27 25 161 164 168 38 38 168
mcs30_r02_s10_AB00 0 0 3 3 3 6 4 0 1 2 8 9 2
mcs30_r02_s10_AB01 0 0 2 3 4 6 4 0 1 2 16 20 2
mcs30_r02_s10_AB02 0 0 1 3 4 5 4 0 1 2 9 9 3
mcs30_r02_s10_AB03 0 0 2 2 4 5 4 0 1 4 10 19 2
mcs30_r02_s10_AB04 0 0 2 2 4 4 4 0 1 3 10 16 3
mcs30_r02_s10_AB05 0 0 3 2 4 5 4 0 1 3 17 25 3
mcs30_r02_s10_AB06 0 0 1 3 2 5 4 0 1 2 16 10 3
mcs30_r02_s10_AB07 0 0 2 3 2 5 2 1 1 3 10 9 3
mcs30_r02_s10_AB08 0 0 2 3 4 6 3 0 2 2 17 22 3
mcs30_r02_s10_AB09 0 0 2 3 4 6 3 0 2 3 9 16 3
mcs30_r02_s15_AB00 1 0 4 5 5 7 5 1 3 5 25 31 5
mcs30_r02_s15_AB01 2 0 4 5 6 8 8 2 5 9 19 37 6
mcs30_r02_s15_AB02 1 0 3 4 5 7 5 1 2 4 18 15 6
mcs30_r02_s15_AB03 1 0 2 4 5 8 5 1 2 5 10 22 5
mcs30_r02_s15_AB04 1 0 3 4 5 7 5 1 2 5 11 32 5
mcs30_r02_s15_AB05 1 0 4 4 5 7 5 1 2 5 32 22 5
mcs30_r02_s15_AB06 1 0 4 5 6 7 5 1 3 6 41 22 5
mcs30_r02_s15_AB07 1 0 4 4 6 7 5 1 3 4 18 20 5
mcs30_r02_s15_AB08 1 0 3 5 5 7 5 2 3 5 22 19 4
mcs30_r02_s15_AB09 1 0 3 4 6 7 6 2 4 5 29 17 5
mcs30_r02_s20_AB00 1 0 3 4 5 7 5 1 2 4 23 18 6
mcs30_r02_s20_AB01 1 1 3 5 5 7 5 1 2 5 27 22 6
mcs30_r02_s20_AB02 1 0 3 4 6 7 5 1 2 4 20 29 4
mcs30_r02_s20_AB03 2 0 3 5 5 7 6 1 2 4 25 19 4
mcs30_r02_s20_AB04 1 0 4 4 4 6 5 1 2 4 27 34 6
mcs30_r02_s20_AB05 1 0 3 4 5 6 5 1 2 4 16 27 4
mcs30_r02_s20_AB06 1 0 2 4 6 7 5 1 2 4 31 33 4
mcs30_r02_s20_AB07 1 0 4 4 5 7 4 1 2 4 22 19 4
mcs30_r02_s20_AB08 1 0 4 5 5 6 5 1 2 4 10 11 4
mcs30_r02_s20_AB09 1 0 3 4 4 7 4 1 2 4 23 17 4
mcs30_r02_s25_AB00 3 7 6 5 7 9 8 3 4 8 27 24 9
mcs30_r02_s25_AB01 4 9 5 7 7 8 9 5 4 5 27 24 6
mcs30_r02_s25_AB02 4 6 5 7 7 8 7 3 3 8 25 26 6
mcs30_r02_s25_AB03 4 7 5 6 7 9 8 3 3 7 31 22 5
mcs30_r02_s25_AB04 4 9 6 5 7 8 8 5 5 7 26 39 7
mcs30_r02_s25_AB05 5 7 5 6 7 10 8 3 4 6 28 28 7
mcs30_r02_s25_AB06 4 4 5 7 7 9 8 2 3 5 30 23 4
mcs30_r02_s25_AB07 3 5 5 7 6 9 6 2 4 6 21 29 7
mcs30_r02_s25_AB08 5 7 7 8 10 9 8 6 7 10 36 27 10
mcs30_r02_s25_AB09 5 6 6 6 7 8 9 3 4 6 23 28 5
mcs30_r02_s30_AB00 2 7 3 5 5 7 5 2 3 5 24 27 5
mcs30_r02_s30_AB01 2 3 5 6 6 7 5 2 3 4 24 15 5
mcs30_r02_s30_AB02 2 4 3 6 5 6 6 2 3 4 24 22 4
mcs30_r02_s30_AB03 2 3 3 4 5 8 5 2 2 4 26 23 5
mcs30_r02_s30_AB04 2 3 4 5 5 8 5 2 2 5 24 33 5
mcs30_r02_s30_AB05 2 3 4 4 7 6 6 1 3 5 23 19 5
mcs30_r02_s30_AB06 1 2 4 5 5 8 5 1 2 3 23 17 4
mcs30_r02_s30_AB07 2 2 4 4 5 8 6 1 2 4 24 11 6
mcs30_r02_s30_AB08 2 3 4 4 6 7 6 2 3 4 32 18 5
mcs30_r02_s30_AB09 2 4 5 6 7 7 6 2 3 5 19 20 6
mcs30_r02_s35_AB00 4 11 5 6 9 9 7 6 7 8 20 27 8
mcs30_r02_s35_AB01 3 10 5 7 7 8 6 7 8 11 21 27 9
mcs30_r02_s35_AB02 4 13 5 5 8 9 7 5 5 6 22 28 6
mcs30_r02_s35_AB03 7 16 9 8 10 12 9 14 12 17 24 43 14
mcs30_r02_s35_AB04 4 13 5 7 7 9 7 7 7 8 21 34 9
mcs30_r02_s35_AB05 3 8 5 5 7 9 7 4 4 7 33 22 7
mcs30_r02_s35_AB06 4 8 5 6 6 9 7 7 7 9 39 22 9
mcs30_r02_s35_AB07 5 20 5 6 7 8 6 7 7 8 29 32 8
mcs30_r02_s35_AB08 5 19 6 7 8 10 9 7 8 9 29 21 9
mcs30_r02_s35_AB09 5 21 6 7 7 10 9 9 8 11 22 39 11
mcs30_r02_s40_AB00 6 18 7 8 10 12 9 9 9 13 29 33 10
mcs30_r02_s40_AB01 8 43 8 9 10 11 9 18 16 17 40 24 18
mcs30_r02_s40_AB02 8 37 7 9 10 12 10 33 32 35 29 25 37
mcs30_r02_s40_AB03 6 28 7 9 7 12 9 10 9 10 65 26 14
mcs30_r02_s40_AB04 9 42 7 9 10 13 12 21 20 21 31 26 21
mcs30_r02_s40_AB05 9 39 7 9 10 12 9 22 25 24 16 24 25
mcs30_r02_s40_AB06 9 28 7 10 11 11 11 22 19 24 28 29 23
mcs30_r02_s40_AB07 8 32 8 9 10 11 10 30 31 33 26 22 34
mcs30_r02_s40_AB08 9 42 8 9 10 13 12 25 24 27 26 37 24
mcs30_r02_s40_AB09 10 66 9 11 12 14 11 25 31 29 29 23 27
mcs30_r02_s50_AB00 39 414 19 16 19 21 22 158 120 104 32 34 111
mcs30_r02_s50_AB01 41 252 19 21 20 25 20 163 164 154 39 33 142
mcs30_r02_s50_AB02 55 452 23 21 26 26 24 225 181 199 50 45 177
mcs30_r02_s50_AB03 61 441 24 21 25 27 23 193 177 153 39 36 150
mcs30_r02_s50_AB04 31 157 16 17 19 21 18 81 78 70 32 34 71
mcs30_r02_s50_AB05 23 323 17 18 21 21 20 139 133 115 39 26 110
mcs30_r02_s50_AB06 47 261 21 22 22 25 24 112 104 96 37 47 97
mcs30_r02_s50_AB07 71 649 27 24 27 30 28 333 264 282 46 41 279
mcs30_r02_s50_AB08 50 450 22 21 25 28 22 184 155 149 37 37 199
mcs30_r02_s50_AB09 60 589 25 21 26 25 29 308 313 259 43 36 297
mcs30_r02_s60_AB00 16 92 12 15 15 19 16 42 36 39 32 61 40
mcs30_r02_s60_AB01 8 44 9 12 12 12 11 19 21 20 26 33 21
mcs30_r02_s60_AB02 11 26 11 11 12 16 12 14 16 18 31 30 18
mcs30_r02_s60_AB03 13 61 10 12 13 14 13 60 63 64 31 27 63
mcs30_r02_s60_AB04 10 30 11 10 13 16 11 29 28 30 41 34 31
mcs30_r02_s60_AB05 11 63 10 13 14 13 14 21 20 21 32 26 20
mcs30_r02_s60_AB06 25 99 13 17 16 18 15 64 66 73 34 28 77
mcs30_r02_s60_AB07 11 42 9 12 14 15 14 28 28 30 31 27 29
mcs30_r02_s60_AB08 11 39 10 13 13 14 12 27 27 31 34 28 29
mcs30_r02_s60_AB09 13 45 13 13 16 15 14 41 41 42 36 61 42
mcs30_r02_s70_AB00 41 160 21 21 24 25 24 137 135 139 36 38 138
mcs30_r02_s70_AB01 51 636 23 22 25 24 26 338 358 335 41 32 313
mcs30_r02_s70_AB02 34 270 19 22 23 24 22 164 179 169 43 41 173
mcs30_r02_s70_AB03 47 261 20 22 21 26 25 116 103 111 42 33 123
mcs30_r02_s70_AB04 49 353 21 21 23 28 23 120 104 100 42 33 161
mcs30_r02_s70_AB05 23 149 17 18 19 21 20 61 50 60 37 54 66
mcs30_r02_s70_AB06 20 327 16 18 19 20 21 89 94 90 36 32 95
mcs30_r02_s70_AB07 22 167 16 21 22 22 22 92 76 73 45 35 73
mcs30_r02_s70_AB08 23 266 16 17 18 21 20 111 74 76 42 45 80
mcs30_r02_s70_AB09 31 317 21 19 21 25 22 86 152 90 37 33 85
mcs30_r02_s80_AB00 85 803 35 32 35 38 34 384 399 395 57 47 397
mcs30_r02_s80_AB01 162 796 50 39 39 44 45 606 566 540 55 66 557
mcs30_r02_s80_AB02 119 595 45 39 43 46 46 316 274 259 63 59 266
mcs30_r02_s80_AB03 72 394 33 32 33 35 32 303 315 280 54 51 259
mcs30_r02_s80_AB04 234 1735 63 55 68 58 53 1137 1225 1155 71 78 1148
mcs30_r02_s80_AB05 129 929 47 42 41 46 46 574 573 506 60 62 491
mcs30_r02_s80_AB06 54 536 30 29 32 33 28 195 112 142 63 54 151
mcs30_r02_s80_AB07 60 335 30 30 31 32 31 135 138 124 46 55 129
mcs30_r02_s80_AB08 47 1177 27 27 31 32 30 486 398 343 50 50 307
mcs30_r02_s80_AB09 94 829 38 36 40 40 40 439 313 513 59 55 348
mcs30_r02_s90_AB00 292 2221 77 64 61 61 60 1551 1469 1540 106 79 1397
mcs30_r02_s90_AB01 451 4118 99 76 76 68 72 1329 962 766 93 122 860
mcs30_r02_s90_AB02 302 3497 79 68 70 66 68 1006 944 1002 82 93 898
mcs30_r02_s90_AB03 295 4761 71 59 58 73 60 2057 1920 1935 98 81 1888
mcs30_r02_s90_AB04 391 5139 105 83 88 80 72 2047 2054 2031 99 122 2552
mcs30_r02_s90_AB05 275 5298 79 71 66 64 63 2825 2187 2174 85 95 2190
mcs30_r02_s90_AB06 153 1915 54 49 48 51 50 555 545 559 63 83 543
mcs30_r02_s90_AB07 380 1975 94 72 63 69 69 872 768 758 107 108 736
mcs30_r02_s90_AB08 749 5783 172 106 108 95 101 2084 2037 1965 142 148 1969
mcs30_r02_s90_AB09 867 5715 161 114 113 114 117 1811 1730 1693 151 160 1694
mcs50_b03_s100_AB00 170 100000 46 49 51 50 51 49172 39710 49004 45 55 41497
mcs50_b03_s100_AB01 295 100000 95 83 80 101 80 100000 100000 100001 56 74 100001
mcs50_b03_s100_AB02 28048 100000 4733 4681 4860 4927 5098 100000 100001 100001 1621 1632 100002
mcs50_b03_s100_AB03 17218 100000 1822 1251 1058 1016 1057 100000 100000 100001 834 838 100000
mcs50_b03_s100_AB04 100000 100000 7431 4237 4798 5221 4688 100000 100001 100001 3306 3287 100001
mcs50_b03_s100_AB05 1912 100000 202 159 128 147 130 100000 100001 100002 135 103 100002
mcs50_b03_s100_AB06 12019 100000 2179 1591 1447 1399 1382 100000 100001 100001 668 655 100001
mcs50_b03_s100_AB07 9500 100000 1177 867 802 805 782 100000 100000 100001 462 460 100001
mcs50_b03_s100_AB08 49236 100000 563 334 241 262 234 100000 100001 100001 160 178 100001
mcs50_b03_s100_AB09 100000 100000 12545 7467 6569 7001 6830 100000 100000 100001 5077 4965 100001
mcs50_b03_s10_AB00 0 0 2 2 4 5 5 0 1 1 17 7 2
mcs50_b03_s10_AB01 0 0 2 3 4 5 3 0 1 2 15 9 2
mcs50_b03_s10_AB02 0 0 3 3 4 6 4 0 1 1 21 9 3
mcs50_b03_s10_AB03 0 0 2 2 4 6 3 0 1 2 17 8 2
mcs50_b03_s10_AB04 0 0 2 3 4 6 2 0 2 3 8 17 3
mcs50_b03_s10_AB05 0 0 2 3 4 5 3 0 1 2 14 8 2
mcs50_b03_s10_AB06 0 0 1 2 2 5 2 0 1 2 11 17 2
mcs50_b03_s10_AB07 0 0 3 3 4 5 4 0 1 2 16 9 2
mcs50_b03_s10_AB08 0 0 2 3 3 5 4 0 1 3 16 41 2
mcs50_b03_s10_AB09 0 0 1 2 3 5 4 0 1 3 16 9 2
mcs50_b03_s15_AB00 2 0 4 4 5 7 5 1 2 4 19 18 6
mcs50_b03_s15_AB01 2 0 4 6 6 8 6 1 2 4 20 33 4
mcs50_b03_s15_AB02 2 0 3 4 5 7 5 1 2 4 17 27 3
mcs50_b03_s15_AB03 2 0 2 6 4 7 6 1 2 4 12 17 3
mcs50_b03_s15_AB04 1 0 3 5 5 6 5 1 2 3 17 32 5
mcs50_b03_s15_AB05 2 0 3 5 5 7 6 1 2 5 18 21 5
mcs50_b03_s15_AB06 2 0 4 5 6 8 7 1 3 6 28 26 5
mcs50_b03_s15_AB07 1 0 2 4 6 8 5 1 2 4 14 23 5
mcs50_b03_s15_AB08 1 0 4 4 5 6 4 1 2 4 19 11 5
mcs50_b03_s15_AB09 2 0 5 4 4 7 5 1 2 4 22 19 4
mcs50_b03_s20_AB00 1 0 2 4 5 7 6 1 2 4 11 10 4
mcs50_b03_s20_AB01 2 0 3 5 6 7 6 1 2 5 30 42 4
mcs50_b03_s20_AB02 1 0 2 4 5 7 5 1 2 4 28 18 4
mcs50_b03_s20_AB03 2 0 2 4 6 7 6 0 1 2 22 19 1
mcs50_b03_s20_AB04 2 0 4 4 6 8 6 1 2 5 13 17 4
mcs50_b03_s20_AB05 2 0 3 5 6 7 5 1 3 5 19 30 5
mcs50_b03_s20_AB06 1 0 3 5 5 8 5 1 2 4 22 27 4
mcs50_b03_s20_AB07 1 0 3 4 5 7 5 1 1 3 34 20 3
mcs50_b03_s20_AB08 2 0 3 5 6 8 6 1 2 5 26 28 6
mcs50_b03_s20_AB09 1 0 4 4 6 7 5 1 2 3 19 21 3
mcs50_b03_s25_AB00 5 6 8 8 9 9 9 2 2 6 24 23 5
mcs50_b03_s25_AB01 9 1 11 8 8 11 8 2 3 6 23 36 6
mcs50_b03_s25_AB02 6 1 8 7 8 11 8 1 2 6 27 55 4
mcs50_b03_s25_AB03 7 6 6 7 9 11 10 2 2 6 28 13 5
mcs50_b03_s25_AB04 5 2 6 6 8 10 7 1 3 8 37 27 5
mcs50_b03_s25_AB05 5 7 6 7 7 10 8 3 4 7 33 22 6
mcs50_b03_s25_AB06 5 2 7 9 8 10 8 1 3 6 25 19 5
mcs50_b03_s25_AB07 5 0 6 7 9 10 8 1 2 5 31 33 5
mcs50_b03_s25_AB08 5 3 6 9 7 11 8 1 2 5 14 25 6
mcs50_b03_s25_AB09 5 1 7 7 7 10 8 1 2 5 33 32 5
mcs50_b03_s30_AB00 2 0 4 5 6 7 6 1 3 4 11 49 5
mcs50_b03_s30_AB01 3 5 6 5 6 8 6 3 4 5 21 28 6
mcs50_b03_s30_AB02 2 2 2 5 6 8 5 2 3 6 20 31 6
mcs50_b03_s30_AB03 2 1 4 5 6 8 6 1 2 4 28 13 5
mcs50_b03_s30_AB04 4 4 6 5 6 8 6 3 4 7 14 23 6
mcs50_b03_s30_AB05 2 0 4 4 6 7 6 2 3 5 37 12 6
mcs50_b03_s30_AB06 2 2 4 5 6 9 6 2 3 6 24 22 6
mcs50_b03_s30_AB07 4 5 5 6 7 10 8 3 4 6 33 13 6
mcs50_b03_s30_AB08 4 11 4 5 6 9 6 3 4 7 29 31 7
mcs50_b03_s30_AB09 3 1 5 5 6 7 6 1 3 4 20 24 5
mcs50_b03_s35_AB00 4 10 6 7 9 11 9 5 6 8 30 17 9
mcs50_b03_s35_AB01 12 39 8 10 9 12 9 15 9 15 18 22 10
mcs50_b03_s35_AB02 19 37 11 11 12 14 11 20 19 20 33 25 23
mcs50_b03_s35_AB03 6 2 8 11 10 11 9 2 5 5 28 47 6
mcs50_b03_s35_AB04 16 3 9 8 11 11 11 3 4 3 33 55 4
mcs50_b03_s35_AB05 12 38 9 9 13 18 13 18 18 16 21 42 19
mcs50_b03_s35_AB06 6 30 6 7 10 12 9 5 6 9 22 23 6
mcs50_b03_s35_AB07 4 5 6 7 7 9 6 1 2 4 25 34 4
mcs50_b03_s35_AB08 7 16 6 7 10 11 9 7 6 9 31 30 8
mcs50_b03_s35_AB09 9 38 7 10 10 12 10 9 9 13 25 39 12
mcs50_b03_s40_AB00 31 117 10 13 14 16 14 17 18 18 34 39 17
mcs50_b03_s40_AB01 22 63 12 12 15 16 15 30 30 32 25 28 33
mcs50_b03_s40_AB02 21 184 11 14 15 16 13 56 52 57 20 22 58
mcs50_b03_s40_AB03 110 15 16 17 20 17 21 11 11 12 32 40 13
mcs50_b03_s40_AB04 56 51 22 21 21 27 25 7 8 9 39 37 9
mcs50_b03_s40_AB05 35 158 15 16 19 19 17 25 24 26 35 32 27
mcs50_b03_s40_AB06 34 21 13 18 15 18 18 13 13 13 29 23 16
mcs50_b03_s40_AB07 76 178 21 21 23 28 23 104 87 90 47 32 94
mcs50_b03_s40_AB08 44 55 16 17 22 21 16 61 54 49 30 20 41
mcs50_b03_s40_AB09 116 616 21 21 21 25 23 95 97 92 34 38 101
mcs50_b03_s50_AB00 968 1576 81 61 54 65 55 401 278 200 85 54 271
mcs50_b03_s50_AB01 3702 6929 504 281 192 212 195 1062 922 828 293 275 852
mcs50_b03_s50_AB02 7633 69350 1008 554 392 426 404 15183 12376 9231 541 531 8947
mcs50_b03_s50_AB03 100000 16634 13248 7616 4313 4645 4292 4877 4167 4084 7468 6255 4279
mcs50_b03_s50_AB04 1913 464 111 105 70 100 75 142 143 139 89 62 153
mcs50_b03_s50_AB05 1471 2376 207 128 100 131 98 627 495 445 116 112 428
mcs50_b03_s50_AB06 20543 12157 2625 1513 1226 1268 1207 3748 3305 3443 1393 1421 3184
mcs50_b03_s50_AB07 288 953 60 47 56 59 54 118 115 121 61 57 114
mcs50_b03_s50_AB08 1825 5758 178 117 98 129 101 1587 1569 1414 111 126 1441
mcs50_b03_s50_AB09 993 632 169 110 95 113 111 197 133 122 106 98 130
mcs50_b03_s60_AB00 43 733 20 20 21 27 25 318 224 325 38 31 269
mcs50_b03_s60_AB01 456 4346 70 52 52 62 54 2078 1983 1944 65 62 2067
mcs50_b03_s60_AB02 1450 1491 334 95 65 83 72 738 849 757 89 64 715
mcs50_b03_s60_AB03 57 1874 26 28 33 33 33 600 488 522 39 47 399
mcs50_b03_s60_AB04 72 18053 18 18 18 24 21 7972 7957 8136 29 23 8069
mcs50_b03_s60_AB05 30 760 15 17 20 19 21 580 490 596 37 26 589
mcs50_b03_s60_AB06 170 1748 30 30 35 45 31 694 996 1015 33 34 1031
mcs50_b03_s60_AB07 12 101 14 16 15 15 15 13 14 16 37 33 16
mcs50_b03_s60_AB08 73 1215 19 24 22 24 29 872 778 871 35 24 880
mcs50_b03_s60_AB09 220 5258 42 35 38 51 37 1821 2063 1857 47 49 1813
mcs50_b03_s70_AB00 1250 14820 142 96 85 120 86 7144 7252 7306 109 99 7398
mcs50_b03_s70_AB01 878 1679 132 82 88 89 84 746 734 741 85 84 698
mcs50_b03_s70_AB02 46251 42199 4369 2380 1827 1838 1779 29332 29179 29289 1964 2126 29367
mcs50_b03_s70_AB03 8791 43512 1175 618 475 552 492 19986 22818 23360 528 540 18706
mcs50_b03_s70_AB04 4662 32429 612 372 252 272 255 23112 22456 22675 308 295 22958
mcs50_b03_s70_AB05 1996 29664 244 170 161 205 166 14114 14123 12480 104 114 12611
mcs50_b03_s70_AB06 8926 10992 1200 662 626 692 635 4363 4428 4344 500 510 3888
mcs50_b03_s70_AB07 722 9069 120 84 87 84 79 4209 3842 3930 92 95 4177
mcs50_b03_s70_AB08 897 2320 75 51 56 69 50 1638 1668 1646 61 59 1685
mcs50_b03_s70_AB09 14268 100000 1289 681 505 594 500 49620 52961 56684 572 585 42557
mcs50_b03_s80_AB00 100000 100000 18603 11167 10921 8531 11107 100000 100001 100001 8793 8888 100001
mcs50_b03_s80_AB01 37634 100000 1434 879 769 685 643 100000 100001 100001 606 601 100001
mcs50_b03_s80_AB02 100000 100000 39205 22678 20848 23434 20982 100000 100000 100001 16747 17159 100001
mcs50_b03_s80_AB03 4392 100000 416 262 230 240 240 100000 100001 100002 214 215 84535
mcs50_b03_s80_AB04 100000 100000 100002 100001 100003 100004 100003 100000 100000 100001 100000 100000 100001
mcs50_b03_s80_AB05 100000 100000 13693 7766 6177 5911 6002 100000 100000 100001 5994 5985 100001
mcs50_b03_s80_AB06 100000 100000 100001 100002 100003 100048 100003 100000 100001 100001 100000 100000 100001
mcs50_b03_s80_AB07 100000 100000 48837 29371 19912 15694 20375 100000 100001 100002 14303 15919 100001
mcs50_b03_s80_AB08 100000 100000 100001 100008 96630 100027 96873 100000 100000 100001 82697 83964 100001
mcs50_b03_s80_AB09 24035 100000 3127 771 448 501 460 100000 100001 100001 799 1094 100001
mcs50_b03_s90_AB00 100000 100000 100001 100002 100004 100015 100004 100000 100001 100001 100000 100000 100001
mcs50_b03_s90_AB01 100000 100000 100002 100002 100003 100064 100003 100000 100001 100001 100000 100001 100001
mcs50_b03_s90_AB02 100000 100000 100001 100003 100003 100005 100003 100000 100001 100002 100000 100001 100002
mcs50_b03_s90_AB03 100000 100000 23408 14491 10823 11867 10938 100000 100000 100001 11610 11556 100001
mcs50_b03_s90_AB04 100000 100000 100001 100002 100003 100067 100003 100000 100001 100002 100001 100001 100001
mcs50_b03_s90_AB05 100000 100000 100001 100002 100017 100037 100019 100000 100000 100001 100000 100000 100001
mcs50_b03_s90_AB06 100000 100000 100001 100002 100002 100005 100003 100000 100000 100002 100001 100000 100001
mcs50_b03_s90_AB07 100000 100000 100001 100002 100003 100006 100003 100000 100001 100001 100001 100001 100001
mcs50_b03_s90_AB08 100000 100000 100001 100002 100003 100063 100003 100000 100001 100002 100000 100000 100001
mcs50_b03_s90_AB09 100000 100000 100001 100006 100001 100003 100002 100000 100000 100001 100000 100000 100001
mcs50_b03m_s100_AB00 322 100000 85 67 68 82 68 100000 100001 100001 67 72 100001
mcs50_b03m_s100_AB01 2094 100000 368 271 246 249 251 100000 100001 100001 158 157 100001
mcs50_b03m_s100_AB02 9732 100000 1312 794 648 683 659 100000 100000 100001 591 555 100001
mcs50_b03m_s100_AB03 3727 100000 575 389 386 379 361 100000 100001 100001 265 258 100001
mcs50_b03m_s100_AB04 620 100000 125 101 102 103 100 100000 100001 100001 77 72 100001
mcs50_b03m_s100_AB05 14963 100000 1969 1383 1090 1234 1085 100000 100001 100001 904 876 100001
mcs50_b03m_s100_AB06 2178 100000 361 291 256 276 261 100000 100000 100001 163 184 100001
mcs50_b03m_s100_AB07 2352 100000 372 247 207 213 223 100000 100001 100001 177 171 100001
mcs50_b03m_s100_AB08 75039 100000 9362 5591 3854 4262 3927 100000 100000 100001 3941 4030 100001
