instance clique james-cpp-max clique-par/t8 clique-par/t16 clique-par/t32 clique-par/t64 clique-par/t32r james-cpp-max-par/t8 james-cpp-max-par/t16 james-cpp-max-par/t32 clique-cilk/t32 clique-cilk/t32r james-cpp-max-par/t32r
mcs10_b03m_s90_AB01 100000 100000 100001 100001 100003 100051 100003 100000 100001 100001 100000 100000 100002
mcs10_b03m_s90_AB02 100000 100000 100001 100002 100003 100017 100003 100000 100001 100002 100001 100001 100001
mcs10_b03m_s90_AB03 100000 100000 100001 100002 100003 100004 100003 100000 100001 100001 100001 100000 100001
mcs10_b03m_s90_AB04 100000 100000 100001 100001 100004 100006 100003 100000 100000 100001 100001 100001 100001
mcs10_b03m_s90_AB05 100000 100000 100001 100002 100003 100005 100003 100000 100000 100001 100001 100001 100001
mcs10_b03m_s90_AB06 100000 100000 100001 100002 100003 100005 100004 100000 100001 100001 100001 100001 100001
mcs10_b03m_s90_AB07 100000 100000 100001 100002 100004 100004 100003 100000 100001 100002 100001 100001 100001
mcs10_b03m_s90_AB08 100000 100000 100001 100002 100003 100005 100003 100000 100001 100001 100001 100001 100002
mcs10_b03m_s90_AB09 100000 100000 100001 100002 100003 100005 100003 100000 100001 100001 100000 100001 100001
mcs10_b06_s100_AB00 65428 100000 7204 3833 2921 3024 2927 100000 100001 100001 3116 3106 100001
mcs10_b06_s100_AB01 100000 100000 57973 29065 21336 23176 21127 100000 100000 100001 28077 28144 100001
mcs10_b06_s100_AB02 38299 100000 4778 2453 1730 1766 1721 100000 100000 100001 2256 2243 100001
mcs10_b06_s100_AB03 100000 100000 100001 72394 57240 66143 57299 100000 100000 100000 64300 64746 100000
mcs10_b06_s100_AB04 39641 100000 3992 2286 1724 1701 1697 100000 100000 100001 1871 1876 100001
mcs10_b06_s100_AB05 100000 100000 41094 20625 14034 14353 14073 100000 100000 100001 20321 20352 100001
mcs10_b06_s100_AB06 19213 100000 2796 1574 1404 1114 1418 100000 100001 100002 916 1082 100001
mcs10_b06_s100_AB07 100000 100000 32059 16677 13088 15172 13121 100000 100000 100001 15364 15709 100001
mcs10_b06_s100_AB08 100000 100000 13085 7096 6069 5946 6005 100000 100000 100001 5784 5880 100001
mcs10_b06_s100_AB09 18458 100000 2058 1066 618 859 639 100000 100000 100001 974 1027 100001
mcs10_b06_s70_AB00 8824 100000 1205 626 478 489 472 100000 100001 100002 585 578 100001
mcs10_b06_s70_AB01 1989 30536 271 162 123 134 129 13418 12959 11704 151 160 10679
mcs10_b06_s70_AB02 13729 100000 1615 836 595 596 587 100000 100000 100001 833 858 100001
mcs10_b06_s70_AB03 1459 39539 196 119 97 115 103 21979 21996 22378 122 130 22256
mcs10_b06_s70_AB04 2336 100000 230 161 118 120 119 31178 19282 19164 143 152 19271
mcs10_b06_s70_AB05 8049 100000 936 489 348 365 352 59530 57871 57396 472 493 58575
mcs10_b06_s70_AB06 8332 100000 1092 605 434 451 425 57404 61385 54645 555 566 54876
mcs10_b06_s70_AB07 4838 43871 562 315 245 309 248 19291 13759 14830 299 274 13669
mcs10_b06_s70_AB08 47677 100000 5056 2638 1824 1853 1823 67919 67579 67650 2650 2622 68885
mcs10_b06_s70_AB09 7816 93339 981 526 372 415 381 32231 27617 26377 503 538 22249
mcs10_b06_s80_AB00 100000 100000 17837 9003 6429 6444 6420 100000 100000 100002 8092 8208 100001
mcs10_b06_s80_AB01 100000 100000 100001 100001 96456 87676 96600 100000 100001 100001 100000 100000 100001
mcs10_b06_s80_AB02 21417 32673 2785 1344 1148 1416 1196 14704 9362 8923 1230 1258 6939
mcs10_b06_s80_AB03 100000 100000 54723 27753 19925 19903 19887 100000 100001 100002 24492 24820 100002
mcs10_b06_s80_AB04 100000 100000 67490 33894 24275 24503 24248 100000 100000 100001 31226 31797 100001
mcs10_b06_s80_AB05 100000 100000 23472 11498 8846 8246 8806 100000 100001 100002 11748 11266 100001
mcs10_b06_s80_AB06 100000 100000 100001 50822 36709 36840 36706 100000 100000 100001 48672 48176 100001
mcs10_b06_s80_AB07 100000 100000 100001 100001 100003 100023 100002 100000 100000 100001 100000 100000 100001
mcs10_b06_s80_AB08 100000 100000 40451 18234 13188 13491 13225 100000 100001 100002 17409 16975 100001
mcs10_b06_s80_AB09 100000 100000 78674 37325 16210 15845 16157 100000 100001 100002 32368 33218 100002
mcs10_b06_s90_AB00 100000 100000 100001 100009 77716 77629 77165 100000 100001 100001 93741 93825 100001
mcs10_b06_s90_AB01 100000 100000 100001 100001 100003 100005 100003 100000 100000 100001 100000 100000 100002
mcs10_b06_s90_AB02 100000 100000 100001 100002 100003 100004 100003 100000 100000 100002 100000 100000 100002
mcs10_b06_s90_AB03 100000 100000 100001 100002 100003 100005 100003 100000 100000 100001 100000 100000 100001
mcs10_b06_s90_AB04 100000 100000 100001 100002 100003 100005 100003 100000 100000 100001 100000 100000 100001
mcs10_b06_s90_AB05 100000 100000 100001 100001 100003 100005 100003 100000 100001 100001 100000 100000 100001
mcs10_b06_s90_AB06 100000 100000 100001 100002 100003 100005 100003 100000 100001 100001 100001 100000 100001
mcs10_b06_s90_AB07 100000 100000 100001 100002 100003 100005 100003 100000 100001 100001 100000 100000 100001
mcs10_b06_s90_AB08 100000 100000 100001 100002 100003 100004 100003 100000 100001 100001 100001 100000 100002
mcs10_b06_s90_AB09 100000 100000 100001 100002 100003 100017 100003 100000 100000 100001 100000 100000 100000
mcs10_b06m_s100_AB00 13695 100000 1753 1008 879 832 869 61696 58193 58181 798 1073 61421
mcs10_b06m_s100_AB01 100000 100000 73739 36544 24531 24521 24478 100000 100000 100001 34936 36315 100001
mcs10_b06m_s100_AB02 52208 100000 6632 3372 2305 2481 2321 100000 100000 100002 3109 3035 100002
mcs10_b06m_s100_AB03 54400 100000 8780 4198 2936 2354 2907 100000 100001 100001 3172 3323 100001
mcs10_b06m_s100_AB04 100000 100000 13722 7512 5964 5610 5992 100000 100000 100001 6392 6688 100000
mcs10_b06m_s100_AB05 100000 100000 12869 6270 4513 4652 4507 100000 100000 100001 5649 5691 100001
mcs10_b06m_s100_AB06 100000 100000 100001 49471 35097 35445 35479 100000 100000 100001 47446 47767 100002
mcs10_b06m_s100_AB07 55081 100000 10431 7076 3324 2524 3337 100000 100001 100001 4533 5000 100001
mcs10_b06m_s100_AB08 100000 100000 28041 14804 11714 14044 11547 100000 100000 100001 13955 13545 100001
mcs10_b06m_s100_AB09 100000 100000 17431 8915 6322 6652 6338 100000 100000 100001 8019 7969 100001
mcs10_b06m_s70_AB00 7268 61662 813 363 274 292 279 31880 30693 21775 411 396 30586
mcs10_b06m_s70_AB01 6917 40202 966 546 466 505 470 7895 7418 8311 456 444 8011
mcs10_b06m_s70_AB02 24950 100000 2916 1537 1121 1315 1113 95434 90055 67066 1394 1458 68934
mcs10_b06m_s70_AB03 8865 56730 1075 497 350 356 347 14564 12462 14745 452 503 15193
mcs10_b06m_s70_AB04 8227 100000 1119 626 394 406 396 20346 12456 14374 567 533 13780
mcs10_b06m_s70_AB05 4422 100000 547 217 160 189 159 26653 14352 13750 270 230 20813
mcs10_b06m_s70_AB06 12941 100000 1790 839 629 652 622 86382 80243 81418 849 850 75321
mcs10_b06m_s70_AB07 9516 100000 1112 665 497 561 506 100000 100000 100001 514 516 100001
mcs10_b06m_s70_AB08 21275 34537 2508 1128 698 878 705 8753 5554 6625 1255 1145 7703
mcs10_b06m_s70_AB09 75948 100000 9077 4699 3244 3214 3211 100000 100001 100001 4378 4517 100001
mcs10_b06m_s80_AB00 100000 100000 49744 24073 17265 17415 17315 100000 100000 100001 22540 22856 100001
mcs10_b06m_s80_AB01 100000 100000 47756 24443 19045 19134 18973 100000 100001 100001 23196 22492 100001
mcs10_b06m_s80_AB02 100000 100000 100001 100002 100002 100028 100003 100000 100000 100001 100000 100000 100001
mcs10_b06m_s80_AB03 100000 100000 22415 11124 8138 8611 8132 100001 100001 63048 10544 10501 63110
mcs10_b06m_s80_AB04 100000 100000 16541 8393 6467 6336 6483 100000 100000 100001 7866 7885 100001
mcs10_b06m_s80_AB05 100000 100000 56815 33137 22316 17024 22362 100000 100001 100002 26587 24508 100001
mcs10_b06m_s80_AB06 100000 100000 100001 70383 51232 51882 51010 100000 100001 100002 65435 65311 100002
mcs10_b06m_s80_AB07 100000 100000 100001 100006 74901 74955 74912 100000 100001 100001 95101 96242 100001
mcs10_b06m_s80_AB08 100000 100000 100001 100001 100013 100009 100013 100000 100001 100001 100000 100000 100002
mcs10_b06m_s80_AB09 100000 100000 67205 34524 27403 31537 27357 100000 100001 100002 29758 30054 100001
mcs10_b06m_s90_AB00 100000 100000 100001 100002 100003 100004 100003 100000 100001 100001 100000 100000 100001
mcs10_b06m_s90_AB01 100000 100000 100001 100002 100003 100005 100003 100000 100001 100001 100000 100000 100001
mcs10_b06m_s90_AB02 100000 100000 100001 100002 100003 100005 100003 100000 100001 100002 100000 100000 100002
mcs10_b06m_s90_AB03 100001 100000 100001 100002 100003 100004 100004 100000 100000 100001 100000 100000 100001
mcs10_b06m_s90_AB04 100000 100000 100001 100002 100003 100004 100003 100000 100001 100001 100000 100000 100001
mcs10_b06m_s90_AB05 100000 100000 100001 100002 100003 100004 100003 100000 100000 100001 100000 100000 100001
mcs10_b06m_s90_AB06 100000 100000 100001 100002 100003 100005 100004 100000 100000 100001 100000 100000 100001
mcs10_b06m_s90_AB07 100000 100000 100001 100002 100003 100004 100003 100000 100000 100001 100000 100001 100002
mcs10_b06m_s90_AB08 100000 100000 100001 100002 100004 100005 100003 100000 100001 100001 100000 100000 100001
mcs10_b06m_s90_AB09 100000 100000 100001 100002 100003 100006 100003 100000 100000 100001 100000 100000 100001
mcs10_b09_s100_AB00 26651 100000 2918 1589 1142 1188 1155 100000 100000 100001 1429 1372 100001
mcs10_b09_s100_AB01 8678 100000 1157 787 589 567 586 100000 100000 100001 478 493 100001
mcs10_b09_s100_AB02 64714 100000 9034 5566 4920 4426 4873 100000 100000 100001 3982 4092 100001
mcs10_b09_s100_AB03 100000 100000 14576 7878 5802 6747 5780 100000 100000 100001 7167 7244 100001
mcs10_b09_s100_AB04 12910 100000 1738 949 698 805 703 100000 100001 100001 794 808 100001
mcs10_b09_s100_AB05 43135 100000 5802 2720 1966 2000 1967 100000 100000 100001 2430 2470 100001
mcs10_b09_s100_AB06 5294 100000 747 447 346 369 341 92800 92184 92096 370 357 92316
mcs10_b09_s100_AB07 15984 100000 1833 1141 753 880 718 100000 100000 100001 826 839 100001
mcs10_b09_s100_AB08 100000 100000 17606 8741 5758 6234 5824 100000 100001 100001 8565 7663 100001
mcs10_b09_s100_AB09 26355 100000 2960 1710 1454 1494 1558 100000 100000 100001 1236 1315 100001
mcs10_b09m_s100_AB00 41030 100000 4611 2357 1668 1686 1670 100000 100000 100001 2325 2320 100001
mcs10_b09m_s100_AB01 100000 100000 20788 10997 7934 8609 7950 100000 100000 100001 9750 9910 100001
mcs10_b09m_s100_AB02 40333 100000 5038 2579 1846 1879 1865 100000 100000 100000 2586 2530 100001
mcs10_b09m_s100_AB03 33225 100000 3871 2058 1527 1482 1548 100000 100000 100002 1933 1994 100001
mcs10_b09m_s100_AB04 13641 100000 1943 990 758 852 760 100000 100000 100001 1009 887 100001
mcs10_b09m_s100_AB05 7738 100000 1029 551 406 419 408 100000 100001 100001 480 506 100001
mcs10_b09m_s100_AB06 89763 100000 9131 4280 3233 3453 3268 100000 100000 100001 4423 4197 100001
mcs10_b09m_s100_AB07 25419 100000 3307 1754 1234 1229 1251 100000 100001 100001 1560 1593 100001
mcs10_b09m_s100_AB08 19617 100000 2423 1375 1017 1061 1018 100000 100000 100001 1158 1136 100001
mcs10_b09m_s100_AB09 75047 100000 9132 4426 3110 3124 3110 100000 100001 100001 4429 4358 100001
mcs10_m2D_s100_AB00 100000 100000 100001 100001 100015 100002 100014 100000 100001 100001 100000 100000 100001
mcs10_m2D_s100_AB01 70897 100000 12556 7912 5009 4182 4955 100000 100000 100001 4505 5954 100001
mcs10_m2D_s100_AB02 100000 100000 100001 46625 35208 35674 34874 100000 100000 100001 45656 42853 100001
mcs10_m2D_s100_AB03 80313 100000 8011 2758 2190 3353 2178 100000 100000 100001 3351 3732 100001
mcs10_m2D_s100_AB04 100000 100000 82830 60176 63899 61201 61204 100000 100001 100001 27663 30242 100001
mcs10_m2D_s100_AB05 100000 100000 37961 17473 12411 11887 12624 100000 100001 100001 21685 21413 100001
mcs10_m2D_s100_AB06 100000 100000 70301 40479 31146 33501 31932 100000 100001 100001 30621 30879 100002
mcs10_m2D_s100_AB07 100000 100000 100001 100001 100008 100024 100008 100000 100000 100001 100000 100000 100001
mcs10_m2D_s100_AB08 100000 100000 100001 84224 53950 50553 53341 100000 100000 100001 98406 93065 100001
mcs10_m2D_s100_AB09 100000 100000 100001 83908 77194 76791 76671 100000 100000 100001 67071 81392 100001
mcs10_m2D_s40_AB00 92 253 21 21 22 25 23 71 70 61 40 28 90
mcs10_m2D_s40_AB01 49 57 15 16 18 19 18 20 17 23 32 30 23
mcs10_m2D_s40_AB02 94 240 19 19 19 19 19 48 32 31 35 37 36
mcs10_m2D_s40_AB03 24 63 12 11 12 15 14 11 9 13 24 32 10
mcs10_m2D_s40_AB04 22 230 10 12 13 17 14 69 52 31 27 35 43
mcs10_m2D_s40_AB05 34 139 13 13 13 17 16 46 48 48 34 28 38
mcs10_m2D_s40_AB06 122 101 24 21 23 22 22 14 17 16 33 39 17
mcs10_m2D_s40_AB07 28 153 13 13 17 18 19 46 25 29 35 35 29
mcs10_m2D_s40_AB08 16 32 9 12 15 14 11 4 5 9 28 25 8
mcs10_m2D_s40_AB09 80 226 20 19 21 24 22 80 90 85 32 35 90
