instance clique james-cpp-max clique-par/t8 clique-par/t16 clique-par/t32 clique-par/t64 clique-par/t32r james-cpp-max-par/t8 james-cpp-max-par/t16 james-cpp-max-par/t32
mcs10_b06_s80_AB09 NaN NaN 376916257 352704384 197527349 194609830 197358088 NaN NaN NaN
mcs10_b06_s90_AB00 NaN NaN NaN NaN 708437759 710718485 708338977 NaN NaN NaN
mcs10_b06_s90_AB01 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b06_s90_AB02 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b06_s90_AB03 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b06_s90_AB04 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b06_s90_AB05 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b06_s90_AB06 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b06_s90_AB07 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b06_s90_AB08 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b06_s90_AB09 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b06m_s100_AB00 10769537 NaN 9991639 11027234 13939129 12850771 13892811 548950780 523483471 524449655
mcs10_b06m_s100_AB01 NaN NaN 398431330 391827843 364777701 365091423 364619538 NaN NaN NaN
mcs10_b06m_s100_AB02 36645808 NaN 36641122 36761075 36893891 36940070 36712734 NaN NaN NaN
mcs10_b06m_s100_AB03 42098617 NaN 53865530 49280030 48443803 37210701 48185813 NaN NaN NaN
mcs10_b06m_s100_AB04 NaN NaN 77436999 80372346 85483411 75847692 85630779 NaN NaN NaN
mcs10_b06m_s100_AB05 NaN NaN 61252961 57799562 59400611 60852351 59271018 NaN NaN NaN
mcs10_b06m_s100_AB06 NaN NaN NaN 582578902 582611514 582661519 582650249 NaN NaN NaN
mcs10_b06m_s100_AB07 37522455 NaN 59979390 84200613 54152748 39088885 54261788 NaN NaN NaN
mcs10_b06m_s100_AB08 NaN NaN 151292220 160335258 179727493 228567112 180099544 NaN NaN NaN
mcs10_b06m_s100_AB09 NaN NaN 81375219 81554578 82418234 86649327 82405523 NaN NaN NaN
mcs10_b06m_s70_AB00 4954544 157986010 4376916 3480422 3742602 3949881 3795992 220306756 243767648 177571250
