instance clique james-cpp-max clique-par/t32 james-cpp-max-par/t32
mcs10_r005_s50_AB03 1000000 1000000 1000004 1000001
mcs10_r005_s50_AB04 1000000 1000000 1000005 1000001
mcs10_r005_s50_AB05 1000000 1000000 1000003 1000001
mcs10_r005_s50_AB06 1000000 1000000 1000003 1000001
mcs10_r005_s50_AB07 1000000 1000000 1000005 1000001
mcs10_r005_s50_AB08 1000000 1000000 1000003 1000001
mcs10_r005_s50_AB09 1000000 1000000 1000003 1000001
mcs10_r01_s20_AB00 680 59 93 19
mcs10_r01_s20_AB01 1243 78 113 15
mcs10_r01_s20_AB02 566 67 83 22
mcs10_r01_s20_AB03 513 14 64 11
mcs10_r01_s20_AB04 651 25 99 17
mcs10_r01_s20_AB05 496 22 85 14
mcs10_r01_s20_AB06 591 30 65 16
mcs10_r01_s20_AB07 509 28 100 20
mcs10_r01_s20_AB08 502 51 83 16
mcs10_r01_s20_AB09 533 16 90 18
mcs10_r01_s25_AB00 30824 739 1226 58
mcs10_r01_s25_AB01 24211 524 949 50
mcs10_r01_s25_AB02 23734 499 1071 55
mcs10_r01_s25_AB03 23695 448 1098 43
mcs10_r01_s25_AB04 26612 629 1134 54
mcs10_r01_s25_AB05 29962 632 1125 54
mcs10_r01_s25_AB06 16300 296 669 27
mcs10_r01_s25_AB07 24869 545 1025 40
mcs10_r01_s25_AB08 27733 437 1152 42
mcs10_r01_s25_AB09 22017 500 848 48
mcs10_r01_s30_AB00 1000000 9796 53871 1113
mcs10_r01_s30_AB01 1000000 7264 37805 534
mcs10_r01_s30_AB02 741485 7186 28951 551
mcs10_r01_s30_AB03 1000000 9708 46546 1093
mcs10_r01_s30_AB04 645839 5663 19180 773
mcs10_r01_s30_AB05 836959 7871 27005 731
mcs10_r01_s30_AB06 1000000 10493 47068 1280
mcs10_r01_s30_AB07 703207 5486 23614 611
mcs10_r01_s30_AB08 1000000 11467 42516 1487
mcs10_r01_s30_AB09 1000000 9992 33071 971
mcs10_r01_s35_AB00 1000000 85220 1000002 13542
mcs10_r01_s35_AB01 1000000 228424 1000003 23256
mcs10_r01_s35_AB02 1000000 109258 1000002 14335
mcs10_r01_s35_AB03 1000000 110848 1000002 16011
mcs10_r01_s35_AB04 1000000 95748 1000002 13040
mcs10_r01_s35_AB05 1000000 171331 922881 15628
mcs10_r01_s35_AB06 1000000 58523 680713 5480
mcs10_r01_s35_AB07 1000000 274670 1000002 27777
mcs10_r01_s35_AB08 1000000 114050 1000002 16007
mcs10_r01_s35_AB09 1000000 234115 1000003 22079
mcs10_r01_s40_AB00 1000000 1000000 1000003 475635
mcs10_r01_s40_AB01 1000000 1000000 1000004 216871
mcs10_r01_s40_AB02 1000000 1000000 1000004 601407
mcs10_r01_s40_AB03 1000000 1000000 1000003 348163
mcs10_r01_s40_AB04 1000000 1000000 1000003 500986
mcs10_r01_s40_AB05 1000000 1000000 1000004 337732
mcs10_r01_s40_AB06 1000000 1000000 1000003 267508
mcs10_r01_s40_AB07 1000000 1000000 1000003 195058
mcs10_r01_s40_AB08 1000000 1000000 1000003 372307
mcs10_r01_s40_AB09 1000000 1000000 1000002 336951
mcs10_r01_s50_AB00 1000000 1000000 1000003 1000001
mcs10_r01_s50_AB01 1000000 1000000 1000004 1000001
mcs10_r01_s50_AB02 1000000 1000000 1000003 1000001
mcs10_r01_s50_AB03 1000000 1000000 1000004 1000001
mcs10_r01_s50_AB04 1000000 1000000 1000003 1000001
mcs10_r01_s50_AB05 1000000 1000000 1000004 1000001
mcs10_r01_s50_AB06 1000000 1000000 1000004 1000001
