instance clique james-cpp-max clique-par/t32 james-cpp-max-par/t32
mcs10_b09_s100_AB07 11679 204235 488 178240
mcs10_b09_s100_AB08 108018 688518 3922 402695
mcs10_b09_s100_AB09 21198 618969 1185 537904
mcs10_b09m_s100_AB00 33185 820684 1101 497578
mcs10_b09m_s100_AB01 155786 1000000 5807 1000001
mcs10_b09m_s100_AB02 29125 955360 1149 609580
mcs10_b09m_s100_AB03 23881 949499 944 506580
mcs10_b09m_s100_AB04 9753 114506 492 98808
mcs10_b09m_s100_AB05 5573 503258 290 120514
mcs10_b09m_s100_AB06 84895 874516 2505 480544
mcs10_b09m_s100_AB07 18268 651657 768 502631
mcs10_b09m_s100_AB08 14248 279670 651 243484
mcs10_b09m_s100_AB09 60089 774517 2088 376127
mcs10_m2D_s100_AB00 1000000 1000000 77905 1000003
mcs10_m2D_s100_AB01 60461 1000000 3255 1000002
mcs10_m2D_s100_AB02 679855 1000000 20247 1000004
mcs10_m2D_s100_AB03 66110 1000000 1597 1000002
mcs10_m2D_s100_AB04 404628 1000000 36499 1000001
mcs10_m2D_s100_AB05 430345 1000000 6727 1000002
mcs10_m2D_s100_AB06 510070 1000000 26728 1000002
mcs10_m2D_s100_AB07 1000000 1000000 88068 1000001
mcs10_m2D_s100_AB08 1000000 1000000 30530 1000002
mcs10_m2D_s100_AB09 1000000 1000000 48913 877654
mcs10_m2D_s40_AB00 89 263 34 74
mcs10_m2D_s40_AB01 82 48 19 27
mcs10_m2D_s40_AB02 134 132 19 34
mcs10_m2D_s40_AB03 19 56 12 11
mcs10_m2D_s40_AB04 39 265 14 34
mcs10_m2D_s40_AB05 33 117 27 111
mcs10_m2D_s40_AB06 124 85 35 27
mcs10_m2D_s40_AB07 44 122 20 30
mcs10_m2D_s40_AB08 17 27 18 9
mcs10_m2D_s40_AB09 67 221 31 85
mcs10_m2D_s50_AB00 19132 11280 295 508
mcs10_m2D_s50_AB01 10795 8370 461 993
mcs10_m2D_s50_AB02 1827 5049 151 906
mcs10_m2D_s50_AB03 4224 1895 244 187
mcs10_m2D_s50_AB04 1282 1003 138 332
mcs10_m2D_s50_AB05 26031 8502 590 1956
mcs10_m2D_s50_AB06 799 3738 73 1030
mcs10_m2D_s50_AB07 425 574 97 54
mcs10_m2D_s50_AB08 5378 10420 309 763
mcs10_m2D_s50_AB09 53191 16055 1802 5321
mcs10_m2D_s60_AB00 687 291 36 134
mcs10_m2D_s60_AB01 2596 3730 139 889
mcs10_m2D_s60_AB02 423 1452 66 1161
mcs10_m2D_s60_AB03 1612 53134 85 19182
mcs10_m2D_s60_AB04 2390 5187 121 3445
mcs10_m2D_s60_AB05 393 12679 49 4589
mcs10_m2D_s60_AB06 6645 15287 309 4091
mcs10_m2D_s60_AB07 56118 14547 2019 3827
mcs10_m2D_s60_AB08 232 1377 42 659
mcs10_m2D_s60_AB09 1922 4626 146 1470
mcs10_m2D_s70_AB00 87394 232922 1848 37473
mcs10_m2D_s70_AB01 15387 87505 667 33190
mcs10_m2D_s70_AB02 34951 503462 790 87557
mcs10_m2D_s70_AB03 11725 72428 439 37831
mcs10_m2D_s70_AB04 3922 273243 214 34378
mcs10_m2D_s70_AB05 7937 104063 355 17998
mcs10_m2D_s70_AB06 30780 143892 1144 25438
mcs10_m2D_s70_AB07 144104 128590 8543 37000
mcs10_m2D_s70_AB08 21224 213390 550 85531
mcs10_m2D_s70_AB09 49347 218399 2122 100906
mcs10_m2D_s80_AB00 925864 695729 15345 132609
mcs10_m2D_s80_AB01 1000000 1000000 634864 1000001
mcs10_m2D_s80_AB02 1000000 1000000 869390 1000001
mcs10_m2D_s80_AB03 1000000 1000000 171960 1000002
mcs10_m2D_s80_AB04 476114 1000000 13347 1000003
mcs10_m2D_s80_AB05 1000000 1000000 133395 1000002
mcs10_m2D_s80_AB06 1000000 1000000 167217 1000002
mcs10_m2D_s80_AB07 1000000 1000000 247581 1000002
mcs10_m2D_s80_AB08 1000000 1000000 37115 1000002
mcs10_m2D_s80_AB09 1000000 1000000 193136 1000002
